issue_id,severity,sheet,record_id,issue_type,description,suggested_fix,status
AI0001,MEDIUM,PEOPLE,PEOPLE,person/founder ID reused across companies,"37 person_id values appear at multiple companies [('P0018', 2), ('P0050', 2), ('P0051', 2), ('P0060', 2), ('P0079', 2)] — verified same individual by name",review only if the same ID maps to different people,resolved
AI0002,MEDIUM,FOUNDERS,FOUNDERS,person/founder ID reused across companies,"21 person_id values appear at multiple companies [('P0049', 2), ('P0060', 2), ('P0122', 2), ('P0167', 2), ('P0190', 2)] — verified same individual by name",review only if the same ID maps to different people,resolved
AI0003,MEDIUM,STARTUPS.total_funding_disclosed,S0001,DERIVED summary in free text,"'13962.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0004,MEDIUM,STARTUPS.total_funding_disclosed,S0002,DERIVED summary in free text,"'69069.3 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0005,MEDIUM,STARTUPS.total_funding_disclosed,S0003,DERIVED summary in free text,"'74670.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0006,MEDIUM,STARTUPS.total_funding_disclosed,S0004,DERIVED summary in free text,"'53707.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0007,MEDIUM,STARTUPS.total_funding_disclosed,S0005,DERIVED summary in free text,"'190233.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0008,MEDIUM,STARTUPS.total_funding_disclosed,S0006,DERIVED summary in free text,"'108585.0 Mn INR (equity, DERIVED) + 52200.0 Mn INR (debt)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0009,MEDIUM,STARTUPS.total_funding_disclosed,S0007,DERIVED summary in free text,"'7850.0 Mn INR (equity, DERIVED) | IPO issue 195.05 USDMn (excluded from private equity total)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0010,MEDIUM,STARTUPS.total_funding_disclosed,S0008,DERIVED summary in free text,"'29689.5 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0011,MEDIUM,STARTUPS.total_funding_disclosed,S0009,DERIVED summary in free text,"'21078.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0012,MEDIUM,STARTUPS.total_funding_disclosed,S0010,DERIVED summary in free text,"'19957.0 Mn INR (equity, DERIVED)' carries equity/debt/derivation breakdown; numeric equity round money is in FUNDING.amount_inr_mn",use FUNDING for numeric totals; keep breakdown as documented note,resolved
AI0013,HIGH,STARTUPS.employee_estimate,S0011,non-numeric value,'1415 (Tracxn official) / ~2610-2655 (Inc42/GetLatka 2025)' is a string,split into value/unit/currency,open
