claim_id,startup_id,entity,field,claim_value,value_type,unit,currency,date_from,date_to,source_id,confidence,status,preferred,notes
CL00001,S0001,Juspay,official_website,https://juspay.io,company-field,,,,,SRC00012,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00002,S0001,Juspay,careers_website,https://juspay.io/careers,company-field,,,,,SRC00012,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00003,S0001,Juspay,cin,U66190KA2012PTC098522,company-field,,,2026-09-15,,SRC00010,HIGH,current,yes,CIN confirmed across multiple registry aggregators
CL00004,S0001,Juspay,description,"Full-stack payments infrastructure: orchestration, checkout, authentication, tokenisation, payouts, analytics; powers ~300M daily transactions for 500+ enterprises; RBI PA licence holder; open-source ",company-field,,,2025-11-12,,SRC00009,HIGH,current,yes,FY25 company-reported metrics
CL00005,S0001,Juspay,employee_estimate,2115,company-field,,,2025,,SRC00014,MEDIUM,current,yes,Revelio Labs estimate for 2025; LinkedIn says 1001-5000
CL00006,S0001,Juspay,public_private,private,company-field,,,2026-09-15,,SRC00012,HIGH,current,yes,not listed; last round Jan 2026
CL00007,S0001,Juspay,hq_type,HQ,company-field,,,2026-09-15,,SRC00010,HIGH,current,yes,registered office and HQ both Bengaluru
CL00008,S0001,Juspay,registered_office,"Stallion Business Centre, No. 444, 3rd & 4th Floor, 18th Main, 6th Block, Koramangala, Bengaluru, Karnataka 560095",company-field,,,2026-09-15,,SRC00010,HIGH,current,yes,verified via ZaubaCorp/Tofler/InstaFinancials
CL00009,S0002,KreditBee,official_website,https://www.kreditbee.in,company-field,,,,,SRC00054,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00010,S0002,KreditBee,careers_website,https://kreditbee.darwinbox.in/ms/candidatev2/main/careers/home,company-field,,,,,,HIGH,current,yes,verified 2026-09-15
CL00011,S0002,KreditBee,state,Karnataka,company-field,,,2026-09-15,,SRC00031,HIGH,current,yes,
CL00012,S0002,KreditBee,business_model,Digital lending marketplace + own NBFC book; co-lending with 10+ partner lenders,company-field,,,2026-09-15,,SRC00040,HIGH,current,yes,Platform facilitates loans via KrazyBee Services (own NBFC) and partner NBFCs/Banks
CL00013,S0002,KreditBee,description,"India's leading online credit solutions provider; instant personal loans via app; serves 180M+ users, 80M+ registered customers, 15M+ unique loan customers",company-field,,,2026-04-08,,SRC00065,HIGH,current,yes,Company-reported figures as of Apr 2026
CL00014,S0002,KreditBee,employee_estimate,1732,company-field,,,2026-09-15,,SRC00058,MEDIUM,current,yes,"PitchBook 2026; Tracxn shows 445 (official), LinkedIn 1836; wide variance across sources"
CL00015,S0002,KreditBee,public_private,private,company-field,,,2026-09-15,,SRC00031,HIGH,current,yes,Pre-IPO; board approved public entity conversion Jul 2025
CL00016,S0002,KreditBee,hq_type,HQ,company-field,,,2026-09-15,,SRC00058,HIGH,current,yes,"4th Floor, Anjaneya Techno Park, HAL Old Airport Road, Bengaluru"
CL00017,S0002,KreditBee,registered_office,"3rd Floor, No.128/9, Maruthi Sapphire, HAL Airport Road, Murugesh Palya, Bengaluru, Karnataka - 560017",company-field,,,2026-09-15,,SRC00049,HIGH,current,yes,KrazyBee Services Pvt Ltd registered office per BSE filing
CL00018,S0003,PhonePe,official_website,https://www.phonepe.com,company-field,,,,,SRC00089,HIGH,current,yes,verified live 2026-09-15: name match on own homepage
CL00019,S0003,PhonePe,careers_website,https://www.phonepe.com/careers/,company-field,,,,,SRC00089,HIGH,current,yes,"careers link found on official homepage, probed live"
CL00020,S0003,PhonePe,cin,U67190KA2012PLC176031,company-field,,,2026-09-15,,SRC00075,MEDIUM,current,yes,Group-entity conflict: PhonePe Limited CIN U67190KA2012PLC176031 vs Phonepe Private Limited U67190MH2012PTC337657; MCA primary not verified
CL00021,S0003,PhonePe,incorporation_date,2015-12,company-field,,,2026-09-15,,SRC00077,MEDIUM,current,yes,Operating founding Dec 2015; registry entity dates 2012; needs primary confirmation
CL00022,S0003,PhonePe,state,Karnataka,company-field,,,2026-09-15,,SRC00077,HIGH,current,yes,
CL00023,S0003,PhonePe,business_model,"UPI payments platform + financial services distribution (lending, insurance, wealth) + consumer tech (Indus Appstore, Pincode)",company-field,,,2026-09-15,,SRC00077,HIGH,current,yes,
CL00024,S0003,PhonePe,description,"India's largest digital payments platform; anchored by UPI payments, expanded into insurance, lending, wealth (Share.Market), and consumer tech (Indus Appstore)",company-field,,,2026-09-15,,SRC00077,HIGH,current,yes,
