competitor_id,startup_id,competitor,category,basis,geography,source_id,confidence,notes
CMP0001,S0002,Moneyview,,inferred,,,MEDIUM,
CMP0002,S0002,Fibe,,inferred,,,MEDIUM,
CMP0003,S0002,Kissht,,inferred,,,MEDIUM,
CMP0004,S0003,Google Pay,,explicit,,SRC00083,HIGH,
CMP0005,S0003,Paytm,,explicit,,SRC00083,HIGH,
CMP0006,S0004,Paytm,,explicit,,SRC00100,HIGH,
CMP0007,S0004,PayU India,,explicit,,SRC00100,MEDIUM,
CMP0008,S0004,Cashfree Payments,,explicit,,SRC00100,MEDIUM,
CMP0009,S0005,Blinkit (Eternal),,explicit,,SRC00106,HIGH,
CMP0010,S0005,Swiggy Instamart,,explicit,,SRC00106,HIGH,
CMP0011,S0005,BigBasket / Flipkart Minutes / Amazon Now,,explicit,,SRC00106,MEDIUM,
CMP0012,S0006,Global AI hyperscalers (per TechCrunch framing),,explicit,,SRC00118,MEDIUM,
CMP0013,S0011,Zerodha,,explicit,,,HIGH,
CMP0014,S0011,Angel One,,explicit,,,HIGH,
CMP0015,S0011,Upstox,,inferred,,,MEDIUM,
CMP0016,S0012,Twilio,,explicit,,,MEDIUM,
CMP0017,S0012,Infobip,,explicit,,,MEDIUM,
CMP0018,S0012,Kore.ai,,explicit,,,MEDIUM,
CMP0019,S0013,Sarvam AI,,inferred,,,MEDIUM,
CMP0020,S0014,Krutrim,,inferred,,,MEDIUM,
CMP0021,S0015,HDFC Bank / Nubank (valuation comps cited),fintech/bank,inferred,,,MEDIUM,
CMP0022,S0016,PhysicsWallah,,explicit,,SRC00292,MEDIUM,
CMP0023,S0016,Eruditus,,explicit,,SRC00292,MEDIUM,
CMP0024,S0016,Simplilearn,,explicit,,SRC00292,MEDIUM,
CMP0025,S0017,Tricentis / SmartBear / Cypress,,explicit,,SRC00349,MEDIUM,
CMP0026,S0018,Zerodha,discount broker,explicit,,,HIGH,
CMP0027,S0018,Groww,discount broker,explicit,,,HIGH,
CMP0028,S0020,ZestMoney,BNPL/EMI,explicit,,,HIGH,
CMP0029,S0020,Axio,BNPL/EMI,explicit,,,HIGH,
CMP0030,S0020,Simpl,BNPL/EMI,explicit,,,HIGH,
CMP0031,S0020,LazyPay,BNPL/EMI,explicit,,,HIGH,
CMP0032,S0021,Zerodha,discount broker,explicit,,,HIGH,
CMP0033,S0021,Groww,discount broker,explicit,,,HIGH,
CMP0034,S0021,Angel One,discount broker,explicit,,,HIGH,
CMP0035,S0022,Moglix,B2B e-commerce,explicit,,SRC00453,HIGH,
CMP0036,S0022,LOTS Wholesale,B2B e-commerce,explicit,,SRC00453,HIGH,
CMP0037,S0022,ProcMart,B2B e-commerce,explicit,,SRC00453,HIGH,
CMP0038,S0023,Go Digit General Insurance,,explicit,,,HIGH,
CMP0039,S0023,Policybazaar,,explicit,,,HIGH,
CMP0040,S0023,InsuranceDekho,,explicit,,,MEDIUM,
CMP0041,S0024,WazirX,crypto exchange,explicit,,SRC00486,MEDIUM,
CMP0042,S0024,CoinDCX,crypto exchange,explicit,,SRC00487,MEDIUM,
CMP0043,S0026,Otter.ai,,explicit,,,MEDIUM,
CMP0044,S0026,Read AI,,explicit,,,MEDIUM,
CMP0045,S0026,Recall.ai,,explicit,,,MEDIUM,
CMP0046,S0027,Stellate,,explicit,,,MEDIUM,
CMP0047,S0027,Strapi,,explicit,,,MEDIUM,
CMP0048,S0027,ZettaBlock,,explicit,,,MEDIUM,
CMP0049,S0029,HubSpot,,explicit,,,MEDIUM,
CMP0050,S0029,Salesforce,,explicit,,,MEDIUM,
CMP0051,S0029,Zoho CRM,,explicit,,,MEDIUM,
CMP0052,S0041,Mobile Premier League (MPL),,explicit,,,HIGH,
CMP0053,S0041,My11Circle (Games24x7),,explicit,,,HIGH,
CMP0054,S0041,Zupee,,explicit,,,MEDIUM,
CMP0055,S0044,Curefoods,,explicit,,,MEDIUM,
CMP0056,S0044,EatClub (Box8),,explicit,,,MEDIUM,
CMP0057,S0058,Orbital Sidekick,hyperspectral EO,inferred,,,MEDIUM,
CMP0058,S0058,Planet Labs,EO imagery,explicit,,SRC01081,MEDIUM,
CMP0059,S0058,Satellogic,hyperspectral EO,explicit,,SRC01082,MEDIUM,
CMP0060,S0060,Avishkaar,,explicit,,,MEDIUM,
CMP0061,S0060,PlayShifu,,explicit,,,MEDIUM,
CMP0062,S0060,SP Robotics,,explicit,,,MEDIUM,
CMP0063,S0061,Whisper (P&G),,explicit,,,MEDIUM,
CMP0064,S0061,Stayfree (Kenvue),,explicit,,,MEDIUM,
CMP0065,S0061,Sofy (Unicharm),,explicit,,,MEDIUM,
CMP0066,S0061,Pee Safe,,explicit,,,MEDIUM,
CMP0067,S0062,PharmEasy,,explicit,,,MEDIUM,
CMP0068,S0062,Tata 1mg,,explicit,,,MEDIUM,
CMP0069,S0067,Dream Sports (Dream11/My11Circle rival context),,explicit,,,MEDIUM,
CMP0070,S0067,MPL,,explicit,,,MEDIUM,
CMP0071,S0067,Winzo,,explicit,,,MEDIUM,
CMP0072,S0067,Head Digital Works (A23),,explicit,,,MEDIUM,
CMP0073,S0068,OfBusiness,B2B construction materials,explicit,,SRC01256,MEDIUM,
CMP0074,S0068,Zetwerk,B2B construction materials,explicit,,SRC01256,MEDIUM,
CMP0075,S0068,Moglix,B2B construction materials,explicit,,SRC01256,MEDIUM,
CMP0076,S0072,Paytm / PhonePe (cited as competitors in Reuters DRHP coverage),payments,explicit,,,MEDIUM,
CMP0077,S0072,Stripe (CEO-cited closest global comparable),payments infra,inferred,,,LOW,
CMP0078,S0083,"Noise, Fire-Boltt, Xiaomi, OnePlus (per ET UDRHP coverage)",wearables/audio,explicit,,SRC01505,HIGH,
CMP0079,S0085,Infra.Market,B2B commerce,explicit,,SRC01531,MEDIUM,
CMP0080,S0085,Zetwerk,B2B commerce,explicit,,SRC01531,MEDIUM,
CMP0081,S0085,Moglix,B2B commerce,explicit,,SRC01531,MEDIUM,
CMP0082,S0086,Mykare Health,surgery chain,explicit,,SRC01580,LOW,
CMP0083,S0093,Rebel Foods,,explicit,,SRC01681,HIGH,
CMP0084,S0093,Freshmenu / Curefoods Eatfit,,explicit,,SRC01681,MEDIUM,
CMP0085,S0094,upGrad / Great Learning / Simplilearn,,explicit,,SRC01688,HIGH,
CMP0086,S0095,Minimalist / Mamaearth / Wow Skin Science / Sugar,,explicit,,SRC01723,HIGH,
CMP0087,S0096,Leverage Edu / ApplyBoard / IDP,,explicit,,SRC01747,MEDIUM,
CMP0088,S0112,OfBusiness,,explicit,,,HIGH,
CMP0089,S0112,Infra.Market,,explicit,,,HIGH,
CMP0090,S0112,Zetwerk,,explicit,,,HIGH,
CMP0091,S0112,Udaan,,explicit,,,MEDIUM,
CMP0092,S0192,GreyOrange,Warehouse robotics,explicit,,SRC02764,HIGH,
CMP0093,S0192,Addverb,Warehouse robotics,explicit,,SRC02764,HIGH,
CMP0094,S0192,Geekplus,Warehouse robotics,explicit,,SRC02764,HIGH,
CMP0095,S0340,Udaan,B2B e-commerce,acquirer,,SRC03774,HIGH,
CMP0096,S0368,Raspberry Pi,Single-board computers,explicit,,SRC03946,HIGH,
