derived_id,startup_id,metric,value,unit,period_from,period_to,inputs,formula,value_type,notes
D0001,S0004,revenue_cagr,64.76,%/yr,FY24,FY25,"FY24 ₹2,296.0 Cr → FY25 ₹3,783.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0002,S0005,revenue_cagr,125.35,%/yr,FY24,FY26,"FY24 ₹4,455.0 Cr → FY26 ₹22,624.0 Cr",((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0003,S0011,revenue_cagr,28.97,%/yr,FY24,FY25,"FY24 ₹3,145.0 Cr → FY25 ₹4,056.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0004,S0012,revenue_cagr,9.56,%/yr,FY23,FY25,"FY23 ₹1,618.6 Cr → FY25 ₹1,943.0 Cr",((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0005,S0013,revenue_cagr,885.33,%/yr,FY24,FY26,FY24 ₹3.1 Cr → FY26 ₹300.0 Cr,((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0006,S0016,revenue_cagr,-2.38,%/yr,FY25,FY26,"FY25 ₹1,569.3 Cr → FY26 ₹1,532.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0007,S0016,revenue_per_employee,1327096.33,INR/yr,FY26,FY26,"FY26 rev ₹1,532.0 Cr / employees=11,544 (as_of 2026-03)",rev×1e7/headcount,DERIVED,PERIODS MAY NOT ALIGN (headcount is point-in-time) — indicative only
D0008,S0017,revenue_cagr,13.05,%/yr,FY24,FY25,FY24 ₹682.0 Cr → FY25 ₹771.0 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0009,S0018,revenue_cagr,55.76,%/yr,FY24,FY26,FY24 ₹373.0 Cr → FY26 ₹904.9 Cr,((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0010,S0019,revenue_cagr,4.64,%/yr,FY22,FY26,"FY22 ₹5,729.0 Cr → FY26 ₹6,869.0 Cr",((v2/v1)^(1/4))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0011,S0025,loss_to_revenue,37.86,%,FY25,FY25,"FY25 PAT ₹-480.8 Cr / revenue ₹1,270.0 Cr",|PAT|/revenue ×100,DERIVED,
D0012,S0034,revenue_cagr,-46.15,%/yr,FY24,FY25,FY24 ₹185.7 Cr → FY25 ₹100.0 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0013,S0035,revenue_cagr,20.5,%/yr,FY22,FY24,FY22 ₹615.0 Cr → FY24 ₹893.1 Cr,((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0014,S0035,revenue_per_employee,5253647.06,INR/yr,FY24,FY24,"FY24 rev ₹893.1 Cr / employees=1,700 (as_of 2026-09-15)",rev×1e7/headcount,DERIVED,PERIODS MAY NOT ALIGN (headcount is point-in-time) — indicative only
D0015,S0036,revenue_cagr,27.06,%/yr,FY21,FY25,"FY21 ₹7,840.4 Cr → FY25 ₹20,433.9 Cr",((v2/v1)^(1/4))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0016,S0037,revenue_cagr,57.43,%/yr,FY23,FY25,"FY23 ₹1,737.4 Cr → FY25 ₹4,306.2 Cr",((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0017,S0037,revenue_per_employee,16562307.69,INR/yr,FY25,FY25,"FY25 rev ₹4,306.2 Cr / employees=2,600 (as_of 2023-08-02)",rev×1e7/headcount,DERIVED,PERIODS MAY NOT ALIGN (headcount is point-in-time) — indicative only
D0018,S0038,revenue_cagr,-11.04,%/yr,FY23,FY25,"FY23 ₹1,044.0 Cr → FY25 ₹826.3 Cr",((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0019,S0040,revenue_cagr,4.97,%/yr,FY24,FY26,"FY24 ₹14,443.0 Cr → FY26 ₹15,913.0 Cr",((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0020,S0042,revenue_cagr,1.9,%/yr,FY24,FY25,FY24 ₹462.1 Cr → FY25 ₹470.9 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0021,S0044,revenue_cagr,17.87,%/yr,FY23,FY26,"FY23 ₹1,195.0 Cr → FY26 ₹1,957.0 Cr",((v2/v1)^(1/3))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0022,S0045,revenue_cagr,37.31,%/yr,FY22,FY25,FY22 ₹360.0 Cr → FY25 ₹932.0 Cr,((v2/v1)^(1/3))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0023,S0047,revenue_cagr,-5.91,%/yr,FY23,FY25,FY23 ₹819.0 Cr → FY25 ₹725.1 Cr,((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0024,S0048,revenue_cagr,5.45,%/yr,FY23,FY25,"FY23 ₹1,148.0 Cr → FY25 ₹1,276.5 Cr",((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0025,S0049,revenue_cagr,85.5,%/yr,FY21,FY25,"FY21 ₹792.8 Cr → FY25 ₹9,387.5 Cr",((v2/v1)^(1/4))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0026,S0050,revenue_cagr,-57.95,%/yr,FY24,FY25,"FY24 ₹2,200.0 Cr → FY25 ₹925.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0027,S0051,valuation_to_revenue,2.99,x,FY25,FY25,"latest disclosed valuation ₹3,000 Cr () / FY25 rev ₹1,002.9 Cr",valuation/revenue,DERIVED,valuation date vs FY period shown in inputs — check alignment
D0028,S0053,revenue_cagr,62.08,%/yr,FY25,FY27,FY25 ₹57.1 Cr → FY27 ₹150.0 Cr,((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0029,S0061,revenue_cagr,100.12,%/yr,FY24,FY25,FY24 ₹48.0 Cr → FY25 ₹96.1 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0030,S0062,revenue_cagr,80.19,%/yr,FY23,FY25,FY23 ₹154.0 Cr → FY25 ₹500.0 Cr,((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0031,S0067,revenue_cagr,12.21,%/yr,FY23,FY24,"FY23 ₹2,023.0 Cr → FY24 ₹2,270.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0032,S0068,revenue_cagr,19.07,%/yr,FY23,FY26,"FY23 ₹11,846.0 Cr → FY26 ₹20,000.0 Cr",((v2/v1)^(1/3))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0033,S0071,revenue_cagr,19.02,%/yr,FY23,FY25,"FY23 ₹1,153.4 Cr → FY25 ₹1,634.0 Cr",((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0034,S0072,revenue_cagr,-67.28,%/yr,FY25,FY26,"FY25 ₹2,274.0 Cr → FY26 ₹744.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0035,S0075,revenue_cagr,26.16,%/yr,FY25,FY26,FY25 ₹516.0 Cr → FY26 ₹651.0 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0036,S0076,revenue_cagr,80.5,%/yr,FY22,FY26,FY22 ₹31.8 Cr → FY26 ₹337.0 Cr,((v2/v1)^(1/4))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0037,S0078,revenue_cagr,44.36,%/yr,FY24,FY26,"FY24 ₹1,001.0 Cr → FY26 ₹2,086.0 Cr",((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0038,S0085,revenue_cagr,10.4,%/yr,FY23,FY26,"FY23 ₹15,342.0 Cr → FY26 ₹20,645.0 Cr",((v2/v1)^(1/3))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0039,S0092,revenue_cagr,21.42,%/yr,FY24,FY26,"FY24 ₹3,144.4 Cr → FY26 ₹4,636.0 Cr",((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0040,S0093,revenue_cagr,52.57,%/yr,FY23,FY25,FY23 ₹322.0 Cr → FY25 ₹749.5 Cr,((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0041,S0094,revenue_cagr,-78.57,%/yr,FY24,FY25,"FY24 ₹3,733.0 Cr → FY25 ₹800.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0042,S0095,revenue_cagr,182.21,%/yr,FY24,FY25,FY24 ₹106.8 Cr → FY25 ₹301.4 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0043,S0098,valuation_to_revenue,2000000000.0,x,FY25,FY25,"latest disclosed valuation ₹100,000,000,000 Cr () / FY25 rev ₹50.0 Cr",valuation/revenue,DERIVED,valuation date vs FY period shown in inputs — check alignment
D0044,S0106,revenue_cagr,37.28,%/yr,FY23,FY25,FY23 ₹411.5 Cr → FY25 ₹775.5 Cr,((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0045,S0106,revenue_per_employee,2383189.92,INR/yr,FY25,FY25,"FY25 rev ₹775.5 Cr / employees=3,254 (as_of 2026)",rev×1e7/headcount,DERIVED,PERIODS MAY NOT ALIGN (headcount is point-in-time) — indicative only
D0046,S0107,funding_to_revenue,20.5,x,FY25,FY25,cumulative disclosed equity ₹615 Cr / FY25 revenue ₹30.0 Cr,cumFunding/revenue,DERIVED,INR rounds only (USD/mixed excluded to avoid fx assumptions)
D0047,S0112,revenue_cagr,16.89,%/yr,FY24,FY25,"FY24 ₹4,232.0 Cr → FY25 ₹4,946.6 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0048,S0112,loss_to_revenue,2.57,%,FY25,FY25,"FY25 PAT ₹-127.0 Cr / revenue ₹4,946.6 Cr",|PAT|/revenue ×100,DERIVED,
D0049,S0118,revenue_cagr,-3.36,%/yr,FY23,FY25,FY23 ₹134.9 Cr → FY25 ₹126.0 Cr,((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0050,S0119,revenue_cagr,96.99,%/yr,FY24,FY25,FY24 ₹122.8 Cr → FY25 ₹241.9 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0051,S0119,loss_to_revenue,52.09,%,FY25,FY25,FY25 PAT ₹-126.0 Cr / revenue ₹241.9 Cr,|PAT|/revenue ×100,DERIVED,
D0052,S0120,revenue_cagr,-69.45,%/yr,FY24,FY25,"FY24 ₹1,100.0 Cr → FY25 ₹336.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0053,S0130,revenue_cagr,47.37,%/yr,FY23,FY25,FY23 ₹110.0 Cr → FY25 ₹238.9 Cr,((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0054,S0130,funding_to_revenue,11.56,x,FY25,FY25,"cumulative disclosed equity ₹2,762 Cr / FY25 revenue ₹238.9 Cr",cumFunding/revenue,DERIVED,INR rounds only (USD/mixed excluded to avoid fx assumptions)
D0055,S0134,revenue_per_employee,2866256.73,INR/yr,FY25,FY25,"FY25 rev ₹372.9 Cr / employees=1,301 (as_of 2025-09-30)",rev×1e7/headcount,DERIVED,PERIODS MAY NOT ALIGN (headcount is point-in-time) — indicative only
D0056,S0135,revenue_cagr,-28.86,%/yr,FY24,FY27,"FY24 ₹8,142.0 Cr → FY27 ₹2,931.0 Cr",((v2/v1)^(1/3))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0057,S0138,funding_to_revenue,11.76,x,FY25,FY25,"cumulative disclosed equity ₹73,535 Cr / FY25 revenue ₹6,253.0 Cr",cumFunding/revenue,DERIVED,INR rounds only (USD/mixed excluded to avoid fx assumptions)
D0058,S0148,revenue_cagr,2900.0,%/yr,FY25,FY26,FY25 ₹10.0 Cr → FY26 ₹300.0 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0059,S0154,revenue_cagr,295.65,%/yr,FY24,FY25,FY24 ₹2.3 Cr → FY25 ₹9.1 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0060,S0156,revenue_cagr,11.79,%/yr,FY24,FY25,FY24 ₹14.7 Cr → FY25 ₹16.4 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
