founder_id,startup_id,person_id,name,role_title,founder_type,active,departure_date,education,prev_companies,linkedin,location,source_id,confidence
FDR0001,S0001,P0001,Vimal Kumar (Vivekananthamoorthy Vimalkumar),Co-founder & CEO,co-founder,True,,,,http://linkedin.com/in/kumarvimal,Bengaluru,SRC00006,HIGH
FDR0002,S0001,P0002,Sheetal Lalwani (Sheetal Pai),Co-founder & COO,co-founder,True,,,,https://linkedin.com/in/sheetalchainraj,Bengaluru,SRC00003,HIGH
FDR0003,S0001,P0003,Ramanathan R.V.,Co-founder (exited 2019),co-founder,False,2019,,,,,SRC00003,MEDIUM
FDR0004,S0002,P0005,Madhusudan Ekambaram (Madhusudan E),Co-founder & CEO,co-founder,True,,CEO; linked to Fintech Association for Consumer Empowerment,,,Bengaluru,SRC00031,HIGH
FDR0005,S0002,P0006,Karthikeyan Krishnaswamy,Co-founder & CTO,co-founder,True,,CTO; ex-NTT Solutions per Tracxn,,,Bengaluru,SRC00041,HIGH
FDR0006,S0002,P0007,Vivek Veda,Co-founder & CFO,co-founder,True,,CFO; ex-Societe Generale per Tracxn,,,Bengaluru,SRC00041,HIGH
FDR0007,S0002,P0008,Madhusudan Ekambaram,Co-founder & CEO,,True,,IIM Bangalore; NUS connections,,,,SRC00031,HIGH
FDR0008,S0003,P0014,Sameer Nigam,Co-founder & CEO,co-founder,True,,CEO; ex-Flipkart; Walmart-ecosystem executive,,https://linkedin.com/in/sanigam,Bengaluru,SRC00080,HIGH
FDR0009,S0003,P0015,Rahul Chari,Co-founder,co-founder,True,,CTO/CPO; ex-Flipkart,,https://linkedin.com/in/rahulchari,Bengaluru,SRC00080,HIGH
FDR0010,S0003,P0016,Burzin Engineer,Co-founder,co-founder,False,,Early co-founding engineer (per MCA/press profiles),,https://linkedin.com/in/burzinengineer,Bengaluru,SRC00080,MEDIUM
FDR0011,S0004,P0028,Harshil Mathur,Co-founder & CEO,co-founder,True,,IIT Roorkee; CEO,,https://linkedin.com/in/harshilmathur,Bengaluru,SRC00094,HIGH
FDR0012,S0004,P0029,Shashank Kumar,Co-founder (MD),co-founder,True,,IIT Roorkee; MD,,https://linkedin.com/in/kumarshashank,Bengaluru,SRC00094,HIGH
FDR0013,S0005,P0031,Aadit Palicha,Co-founder & CEO,co-founder,True,,Stanford dropout; CEO; ex-Data structures/projects with Vohra; pandemic pivot from grocery-on-bicycles Mumbai,,https://linkedin.com/in/aadit-palicha,Bengaluru,SRC00110,HIGH
FDR0014,S0005,P0032,Kaivalya Vohra,Co-founder,co-founder,True,,Stanford dropout; ops/product,,https://linkedin.com/in/kaivalya-vohra,Bengaluru,SRC00110,HIGH
FDR0015,S0006,P0035,Sharad Sanghi,Co-founder & CEO,co-founder,True,,Founder of Netmagic (acquired by NTT Data 2016); ex-MD/CEO Netmagic till Jun 2023,,https://www.linkedin.com/in/sharadsanghi,Mumbai,SRC00118,HIGH
FDR0016,S0006,P0036,Anindya Das,Co-founder & CTO,co-founder,True,,Former senior Netmagic executive; cloud infra/network design,,https://www.linkedin.com/in/anindya-das,Mumbai,SRC00122,HIGH
FDR0017,S0007,P0038,Baskar Subramanian,Managing Director & CEO,co-founder,True,,CEO; IIM-B alumni cohort with co-founders,,https://linkedin.com/in/baskar-subramanian,Bengaluru,SRC00139,MEDIUM
FDR0018,S0007,P0039,Srividhya Srinivasan,Co-founder,co-founder,True,,,,,Bengaluru,SRC00138,MEDIUM
FDR0019,S0007,P0040,Arunachalam Srinivasan Karapattu (Srinivasan KA),Co-founder,co-founder,True,,,,,Bengaluru,SRC00138,MEDIUM
FDR0020,S0008,P0041,Kunal Shah,Founder & CEO,founder,True,June 2026,ex-FreeCharge founder,,https://linkedin.com/in/kunalshah1,Bengaluru,SRC00145,HIGH
FDR0021,S0009,P0042,Jayant Paleti,Co-founder,co-founder,True,,,,,Hyderabad,SRC00157,HIGH
FDR0022,S0009,P0043,Chaitanya Peddi,Co-founder,co-founder,True,,,,,Hyderabad,SRC00155,HIGH
FDR0023,S0009,P0044,Rohit Chennamaneni,Co-founder,co-founder,True,,,,,Hyderabad,SRC00163,HIGH
FDR0024,S0009,P0045,Vineet Singh,"Co-founder (elevated CTO, Aug 2024)",co-founder,True,,,,,Hyderabad,SRC00155,MEDIUM
FDR0025,S0010,P0046,Mukund Jha,Co-founder & CEO,co-founder,True,,"ex-Google; co-founder & CTO Dunzo; co-founder Wisdom.ly, Habet",,https://linkedin.com/in/mukund-jha-a1596413,San Francisco,SRC00167,HIGH
FDR0026,S0010,P0047,Madhav Jha,Co-founder (twin brother),co-founder,True,,ex-Dropbox ML engineer; PhD Penn State; ex-Sandia; Amazon SageMaker team,,,San Francisco,SRC00170,HIGH
FDR0027,S0011,P0048,Lalit Keshre,Co-founder & CEO,co-founder,True,,Ex-Flipkart product; founded Eduflix; Ittiam Systems; IIT Bombay EE (BTech+MTech microelectronics),,,Bengaluru,SRC00177,HIGH
FDR0028,S0011,P0049,Harsh Jain,Co-founder & COO,co-founder,True,,Ex-Flipkart product; IIT Delhi EE + Masters Information & Communication Engineering,,,Bengaluru,SRC00177,HIGH
FDR0029,S0011,P0050,Ishan Bansal,Co-founder,co-founder,True,,Ex-Flipkart; BITS Pilani BE + XLRI MBA (per Tracxn education data),,,Bengaluru,SRC00177,MEDIUM
FDR0030,S0011,P0051,Neeraj Singh,Co-founder & CTO,co-founder,True,,Ex-Flipkart; technology leadership,,,Bengaluru,SRC00189,MEDIUM
FDR0031,S0012,P0056,Beerud Sheth,Co-founder & CEO,co-founder,True,,IIT Bombay BTech + MIT MS Computer Science; founded Elance (now Upwork); Merrill Lynch/Citicorp; MIT Media Lab research,,https://www.linkedin.com/in/beerud/,San Francisco,SRC00231,HIGH
FDR0032,S0013,P0060,Bhavish Aggarwal,Founder,founder,True,,"IIT Bombay BTech; co-founder Ola Cabs, founder Ola Electric; serial unicorn founder",,https://linkedin.com/in/bhavishaggarwal,Bengaluru,SRC00239,HIGH
FDR0033,S0013,P0061,Krishnamurthy Venugopala Tenneti,Co-founding Director,co-founder,True,,ANI Technologies (Ola) long-time board member,,,Bengaluru,SRC00239,MEDIUM
FDR0034,S0014,P0074,Vivek Raghavan,Co-founder,co-founder,True,,"Ex-UIDAI/Aadhaar (decade+ DPI), EkStep, Khosla Labs; ex-AI4Bharat; IIT Delhi BTech, PhD CMU/ETH",,https://linkedin.com/in/vivek-raghavan-16005424,Bengaluru,SRC00274,HIGH
FDR0035,S0014,P0075,Pratyush Kumar,Co-founder & CEO,co-founder,True,,"Ex-Microsoft/IBM researcher, IIT Madras faculty, AI4Bharat founder; IIT Bombay BTech, PhD ETH Zurich",,,Bengaluru,SRC00274,HIGH
FDR0036,S0015,P0076,Rajan Bajaj,"Co-founder, MD & CEO",founder,True,,"Founder, MD & CEO; largest shareholder of merged bank",,https://linkedin.com/in/rajanbajaj,Guwahati,SRC00283,HIGH
