founder_id,person_id,name,startup_id,company,role_title,founder_type,active,departure_date,education,linkedin,location,prev_companies_raw,previous_company_count,source_id,confidence,notes
FDR0001,P0001,Vimal Kumar (Vivekananthamoorthy Vimalkumar),S0001,Juspay,Co-founder & CEO,co-founder,True,,,http://linkedin.com/in/kumarvimal,Bengaluru,,0,SRC00006,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0002,P0002,Sheetal Lalwani (Sheetal Pai),S0001,Juspay,Co-founder & COO,co-founder,True,,,https://linkedin.com/in/sheetalchainraj,Bengaluru,,0,SRC00003,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0003,P0003,Ramanathan R.V.,S0001,Juspay,Co-founder (exited 2019),co-founder,False,2019,,,,,0,SRC00003,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0004,P0005,Madhusudan Ekambaram (Madhusudan E),S0002,KreditBee,Co-founder & CEO,co-founder,True,,CEO; linked to Fintech Association for Consumer Empowerment,,Bengaluru,,0,SRC00031,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0005,P0006,Karthikeyan Krishnaswamy,S0002,KreditBee,Co-founder & CTO,co-founder,True,,CTO; ex-NTT Solutions per Tracxn,,Bengaluru,,0,SRC00041,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0006,P0007,Vivek Veda,S0002,KreditBee,Co-founder & CFO,co-founder,True,,CFO; ex-Societe Generale per Tracxn,,Bengaluru,,0,SRC00041,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0007,P0008,Madhusudan Ekambaram,S0002,KreditBee,Co-founder & CEO,,True,,IIM Bangalore; NUS connections,,,,0,SRC00031,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0008,P0014,Sameer Nigam,S0003,PhonePe,Co-founder & CEO,co-founder,True,,CEO; ex-Flipkart; Walmart-ecosystem executive,https://linkedin.com/in/sanigam,Bengaluru,,0,SRC00080,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0009,P0015,Rahul Chari,S0003,PhonePe,Co-founder,co-founder,True,,CTO/CPO; ex-Flipkart,https://linkedin.com/in/rahulchari,Bengaluru,,0,SRC00080,HIGH,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
FDR0010,P0016,Burzin Engineer,S0003,PhonePe,Co-founder,co-founder,False,,Early co-founding engineer (per MCA/press profiles),https://linkedin.com/in/burzinengineer,Bengaluru,,0,SRC00080,MEDIUM,verbatim FOUNDERS passthrough + parsed prev_companies count; same person_id across companies preserved
