round_id,startup_id,city,round_date,announcement_date,year,fiscal_year,round_type,amount,currency,amount_inr_mn,valuation,valuation_currency,valuation_type,lead_investor_id,investor_ids,investor_count,new_or_existing,purpose,source_id,confidence,notes
R00001,S0001,Bengaluru,,2025-04-07,2025,FY25-26,Series D,60.0,USD,5142.0,900.0,USD,post-money reported,INV0001,INV0001;INV0002;INV0003,4,mixed (DERIVED),,SRC00001,HIGH,
R00002,S0001,Bengaluru,,2026-01-23,2026,FY26-27,Series D follow-on,50.0,USD,4350.0,1200.0,USD,post-money reported,INV0004,INV0004,2,all-new-investors (DERIVED),,SRC00002,HIGH,
R00003,S0001,Bengaluru,2021-12-15,2021-12-15,2021,FY21-22,Series C,60.0,USD,4470.0,460.0,USD,post-money reported,INV0005,INV0005;INV0003;INV0006,4,initial (DERIVED),"technology and product development, scale payments globally",SRC00013,HIGH,
R00004,S0002,Bengaluru,2026-04-08,2026-04-08,2026,FY26-27,Series E,280.0,USD,24360.0,,,post-money,INV0008;INV0009;INV0010,INV0008;INV0009;INV0010;INV0011;INV0012;INV0013;INV0014,10,mixed (DERIVED),"Strengthen lending book/balance sheet, debt-to-equity leverage, lower cost of funds",SRC00031,HIGH,$220M primary + $60M secondary; ~3x oversubscribed; last private round before IPO
R00005,S0002,Bengaluru,2023-01-01,2023-01-01,2023,FY23-24,Series D extension,200.0,USD,16560.0,,,post-money,INV0015,INV0015,2,all-new-investors (DERIVED),,SRC00032,MEDIUM,Prior round per ET; Tracxn total ~$256M pre-Series-E
R00006,S0002,Bengaluru,2024-03-27,2024-03-27,2024,FY24-25,Series D extension,9.4,USD,786.78,,,post-money,INV0016,INV0016;INV0017;INV0013;INV0018;INV0015;INV0019,7,mixed (DERIVED),Pre-IPO round,SRC00041,MEDIUM,Last disclosed round before Series E; Tracxn total ~$256M pre-Series-E
R00007,S0002,Bengaluru,2023-01-06,2023-01-06,2023,FY23-24,Series D,200.0,USD,16560.0,,,post-money,INV0015,INV0015;INV0020;INV0018;INV0014;INV0016;INV0013;INV0019,8,mixed (DERIVED),Growth capital,SRC00032,MEDIUM,Led by MUFG; valued at $680M
R00008,S0002,Bengaluru,2021-03-22,2021-03-22,2021,FY21-22,Series C (tranche 2),70.0,USD,5215.0,,,,INV0021;INV0022,INV0021;INV0022,4,all-new-investors (DERIVED),"Exit for Chinese investors (Xiaomi, Shunwei, Kunlun); expand lending portfolio",SRC00042,HIGH,Total Series C = $145M ($75M tranche 1 + $70M tranche 2); Chinese investors exit
R00009,S0002,Bengaluru,2021-02-15,2021-02-15,2021,FY21-22,Series C (tranche 1),75.0,USD,5587.5,,,,INV0013;INV0023;INV0024;INV0025,INV0013;INV0023;INV0024;INV0025,8,initial (DERIVED),"Diversify product offering; venture into secured loans, home loans, credit line",SRC00043,HIGH,Both primary and secondary; Chinese stake reduced from 40% to 10%
R00010,S0003,Bengaluru,2023-01-01,2023-01-01,2023,FY23-24,growth/secondary mix,100.0,USD,8280.0,,,pre-money,INV0027,INV0028;INV0027;INV0029;INV0030;INV0031,6,all-new-investors (DERIVED),,SRC00080,HIGH,Last private primary; pre-money $12B; ~$1B raised cumulatively per Mint
R00011,S0003,Bengaluru,2025-09-01,2026-01-22,2026,FY26-27,secondary,430.0,USD,37410.0,,,,INV0027,INV0027,2,all-follow-on (DERIVED),,SRC00073,HIGH,"Founders sold Rs 3,937cr to GA Sep 2025; GA total ~$1.15B, 8.9% stake"
R00012,S0003,Bengaluru,2023-01-01,2023-01-01,2023,FY23-24,Growth equity,,USD,,12000.0,USD,pre-money,,,0,initial (DERIVED),Growth capital post-redomiciling; $850M total in round per Fintech Futures,SRC00074,MEDIUM,added session-2 gapfill
R00013,S0003,Bengaluru,2023-01-01,2023-01-15,2023,FY23-24,growth/secondary,350.0,USD,28980.0,,,pre-money,INV0027,INV0027;INV0028;INV0029;INV0030;INV0031,6,all-follow-on (DERIVED),Growth capital post-redomiciling,SRC00074,MEDIUM,$850M total in round per Fintech Futures; last private primary
R00014,S0004,Bengaluru,2021-12-20,2021-12-20,2021,FY21-22,Series F,375.0,USD,27937.5,,,post-money,INV0033;INV0034;INV0035,INV0033;INV0034;INV0035;INV0036;INV0037;INV0029;INV0038,10,mixed (DERIVED),,SRC00099,HIGH,
R00015,S0004,Bengaluru,2021-04-18,2021-04-18,2021,FY21-22,Series E,160.0,USD,11920.0,,,post-money,INV0036;INV0037,INV0036;INV0037;INV0039;INV0029,6,all-follow-on (DERIVED),,SRC00093,HIGH,
R00016,S0004,Bengaluru,2020-10-12,2020-10-12,2020,FY20-21,Series D,100.0,USD,7400.0,,,post-money,INV0036;INV0037,INV0036;INV0037;INV0039;INV0029;INV0038,7,mixed (DERIVED),,SRC00093,HIGH,
R00017,S0004,Bengaluru,2019-06-18,2019-06-18,2019,FY19-20,Series C,75.0,USD,6450.0,,,post-money,INV0039;INV0037,INV0039;INV0037;INV0029;INV0038,6,initial (DERIVED),,SRC00093,MEDIUM,
R00018,S0005,Mumbai,2025-10-16,2025-10-16,2025,FY25-26,pre-IPO,450.0,USD,38565.0,,,post-money,INV0041;INV0042,INV0043;INV0042;INV0044;INV0045;INV0046;INV0047;INV0048,9,mixed (DERIVED),,SRC00104,HIGH,Pre-IPO; majority primary (~$300M per RoC); ESOP pool expanded ~$170M; ~$900M cash post-round
R00019,S0005,Mumbai,2026-08-01,2026-08-01,2026,FY26-27,pre-IPO placement,105.0,USD,9135.0,,,post-money,,INV0049,1,all-new-investors (DERIVED),,SRC00108,LOW,"ESTIMATE: Rs 1,000cr+ per press; $105M converted; pre-IPO placement ahead of listing"
R00020,S0005,Mumbai,2021-07-01,2021-07-01,2021,FY21-22,seed,,USD,,,,pre-money,,INV0038,1,initial (DERIVED),,SRC00110,MEDIUM,Y Combinator W21 batch; exact seed amount not publicly disclosed
R00021,S0005,Mumbai,2022-01-01,2022-01-01,2022,FY22-23,Series A,60.0,USD,4710.0,,,pre-money,INV0048,INV0048;INV0038,3,mixed (DERIVED),,SRC00110,MEDIUM,Amount per CNBC TV18 summary of funding streak
R00022,S0005,Mumbai,2022-11-01,2022-11-01,2022,FY22-23,Series B,100.0,USD,7850.0,,,pre-money,INV0050,INV0050;INV0048;INV0046,4,mixed (DERIVED),,SRC00110,MEDIUM,Amount per CNBC TV18 summary; exact figure not independently verified
R00023,S0005,Mumbai,2023-08-01,2023-08-01,2023,FY23-24,Series C,200.0,USD,16560.0,,,pre-money,INV0047,INV0047;INV0048;INV0046;INV0044,5,mixed (DERIVED),,SRC00104,MEDIUM,StepStone first backed Zepto in 2023 per ET; exact amount not confirmed
R00024,S0005,Mumbai,2024-06-01,2024-06-01,2024,FY24-25,Series D,665.0,USD,55660.5,,,post-money,INV0042,INV0042;INV0048;INV0046;INV0044;INV0045;INV0047,7,mixed (DERIVED),,SRC00110,HIGH,$665M at $3.6B valuation per CNBC TV18
R00025,S0005,Mumbai,2024-08-01,2024-08-01,2024,FY24-25,Series E,340.0,USD,28458.0,,,post-money,INV0051,INV0051,2,all-new-investors (DERIVED),,SRC00110,MEDIUM,$340M at $5B valuation per CNBC TV18; lead investor not specified
R00026,S0005,Mumbai,2024-11-01,2024-11-01,2024,FY24-25,Series F,350.0,USD,29295.0,,,pre-money,INV0052,INV0052,2,all-new-investors (DERIVED),,SRC00110,MEDIUM,$350M all-domestic round per CNBC TV18
R00027,S0006,Mumbai,2024-04-10,2024-04-10,2024,FY24-25,Seed,20.0,USD,1674.0,,,,INV0053;INV0048;INV0054,INV0055;INV0048;INV0054,6,all-new-investors (DERIVED),,SRC00117,HIGH,
R00028,S0006,Mumbai,2024-10-22,2024-10-22,2024,FY24-25,Series A,30.0,USD,2511.0,,,post-money (per Entrackr estimates),INV0054;INV0056;INV0048,INV0054;INV0056;INV0048,6,mixed (DERIVED),,SRC00118,HIGH,
R00029,S0006,Mumbai,2026-02-16,2026-02-16,2026,FY26-27,Growth equity,600.0,USD,52200.0,1400.0,USD,enterprise value (press-reported),INV0057,INV0057;INV0058;INV0059;INV0060;INV0048,6,mixed (DERIVED),"Deploy 20,000+ GPUs, R&D, orchestration/observability/security platforms",SRC00115,HIGH,"Definitive equity agreements up to $600M; company intends additional $600M debt subject to documentation (total $1.2B capital raise). Majority stake to Blackstone. Valuation $1.4B enterprise value per ET, not confirmed by company."
R00030,S0006,Mumbai,,,,,Growth/PE round (unicorn),,USD,,,,"press-quoted (ET report, company did not comment)",,,0,"new (Blackstone first seen); existing Nexus, 360 ONE in equity mix","Scale AI infrastructure footprint; deploy 20,000+ GPUs across India",SRC00116,HIGH,added session-2 gapfill
R00031,S0006,Mumbai,,2026-02-16,2026,FY26-27,Growth equity (planned debt),600.0,USD,52200.0,,,,,,0,unknown,Additional debt financing subject to documentation,SRC00114,MEDIUM,Planned $600M debt; status unresolved as of 2026-09-15
R00032,S0007,Bengaluru,,2022-11-01,2022,FY22-23,Series F-II,100.0,USD,7850.0,1400.0,USD,post-money,INV0027,INV0027,2,initial (DERIVED),,SRC00136,HIGH,
R00033,S0007,Bengaluru,,2026-01-21,2026,FY26-27,IPO,195.05,USD,16969.35,821.0,USD,market-cap,,,0,unknown,"technology/cloud infra Rs 550 cr, acquisitions, general corporate",SRC00137,HIGH,
R00034,S0008,Bengaluru,,2021-10-01,2021,FY21-22,Series E (reported Oct 2021),251.0,USD,18699.5,4010.0,USD,post-money,INV0029;INV0064,INV0029;INV0064,4,initial (DERIVED),,SRC00145,MEDIUM,
R00035,S0008,Bengaluru,,2022-06-09,2022,FY22-23,Series F,140.0,USD,10990.0,6400.0,USD,post-money,INV0036,INV0036;INV0029;INV0065;INV0066;INV0067,6,mixed (DERIVED),,SRC00146,HIGH,Mix of primary + secondary; first tranche Rs 617 cr (~$80M) per MCA filings
R00036,S0009,Hyderabad,,2022-01-25,2022,FY22-23,Series D,72.0,USD,5652.0,1000.0,USD,post-money,INV0068,INV0068,2,initial (DERIVED),,SRC00162,HIGH,
R00037,S0009,Hyderabad,,2025-03-05,2025,FY25-26,growth,140.0,USD,11998.0,950.0,USD,blended,INV0069;INV0070,INV0069;INV0070;INV0071,5,all-new-investors (DERIVED),,SRC00154,HIGH,Mix of primary + secondary (largely secondary); Partners Group ~$75M stake
R00038,S0009,Hyderabad,,2025-08-14,2025,FY25-26,growth,40.0,USD,3428.0,1000.0,USD,blended,INV0072,INV0072,2,all-new-investors (DERIVED),,SRC00156,HIGH,Primary + secondary; Peak XV partial selldown at ~10x
R00039,S0010,Bengaluru,,2024-01-01,2024,FY24-25,Seed,7.0,USD,585.9,,,,,INV0038;INV0073,2,initial (DERIVED),,SRC00168,MEDIUM,
R00040,S0010,Bengaluru,,2025-09-01,2025,FY25-26,Series A,23.0,USD,1971.1,,,,INV0046,INV0046;INV0073;INV0038;INV0074,5,mixed (DERIVED),,SRC00170,HIGH,
R00041,S0010,Bengaluru,,2026-01-01,2026,FY26-27,Series B,70.0,USD,6090.0,300.0,USD,post-money,INV0075;INV0005,INV0075;INV0005,4,all-new-investors (DERIVED),,SRC00167,HIGH,
R00042,S0010,Bengaluru,,2026-07-15,2026,FY26-27,Series C,130.0,USD,11310.0,1500.0,USD,post-money,INV0076,INV0076;INV0077;INV0078;INV0075;INV0005;INV0046;INV0038,8,mixed (DERIVED),,SRC00167,HIGH,"Co-leads: MNI Ventures-Claypond, Sentinel Global; total funding $230M"
R00043,S0011,Bengaluru,,2019-01-23,2019,FY19-20,Series A,6.2,USD,533.2,,,,INV0080,INV0081;INV0038;INV0082;INV0083,5,initial (DERIVED),,SRC00180,HIGH,
R00044,S0011,Bengaluru,,2021-04-07,2021,FY21-22,Series D,83.0,USD,6183.5,1000.0,USD,,INV0029,INV0084;INV0039;INV0085;INV0029;INV0082,6,mixed (DERIVED),,SRC00179,HIGH,
