investor_id,name,type,geography,fund_vintage,notable_portfolio,india_presence,partner_if_public,notes
INV0001,Kedaara Capital,PE,Mumbai,,,Mumbai,,
INV0002,SoftBank,Investment,"Tokyo, Japan",,,Yes,,
INV0003,Accel,VC,San Francisco,,,Bengaluru,,
INV0004,WestBridge Capital,VC,Singapore,,,Bengaluru,,
INV0005,SoftBank Vision Fund 2,VC,Japan,,,Mumbai,,
INV0006,existing investors,,,,,,,
INV0007,SoftBank Vision Fund,VC,"Tokyo, Japan",,,Mumbai,,
INV0008,Motilal Oswal Alternates,PE,UNKNOWN,,,,,
INV0009,Hornbill Capital,Hedge Fund,"Mumbai, India",,,,,
INV0010,MUFG-backed Dragon Funds,Sovereign/Govt,"Tokyo, Japan",,,,,
INV0011,WhiteOak Capital,,,,,,,
INV0012,A.P. Moller Holding,,,,,,,
INV0013,Premji Invest,family office/PE,"Mumbai, India",,,True,,
INV0014,Advent International,PE,Global,,,Yes,,
INV0015,MUFG,Sovereign/Govt,"Tokyo, Japan",,,,,
INV0016,Motilal Oswal,PE,UNKNOWN,,,,,
INV0017,Newquest,,,,,,,
INV0018,Mirae Asset,VC,,,,,,
INV0019,Wiseanya,,,,,,,
INV0020,TPG,PE,Global,,,Yes,,
INV0021,TPG-backed NewQuest Capital Partners,PE,"San Francisco, CA, USA",,,,,
INV0022,Motilal Oswal Private Equity,,,,,,,
INV0023,Mirae Asset Ventures,,,,,,,
INV0024,Alpine Capital Advisors,,,,,,,
INV0025,Arkam Ventures,VC,"Bengaluru, India",,,,,
INV0026,MUFG (Dragon Funds),Sovereign/Govt,"Tokyo, Japan",,,,,
INV0027,General Atlantic,growth equity,USA (global),,,"Yes (Shantanu Rastogi, MD & Head of India)",,
INV0028,Walmart,CVC-corporate,,,,,,
INV0029,Tiger Global,growth,USA,,,Mumbai,,
INV0030,Microsoft,CVC-corporate,"Redmond, US",,,,,
INV0031,Ribbit,,,,,,,
INV0032,Walmart (WM Digital Commerce Holdings),CVC-corporate,,,,,,
INV0033,Lone Pine Capital,Hedge Fund,,,,,,
INV0034,Alkeon Capital,,,,,,,
INV0035,TCV,VC,"Menlo Park, USA",,,,,
INV0036,GIC,Sovereign/Govt,Singapore,,,,,
INV0037,Peak XV Partners,VC,"Bengaluru, India",,,Yes,,
INV0038,Y Combinator,Accelerator/Micro-VC,"Mountain View, USA",,,,,
INV0039,Ribbit Capital,VC,"Palo Alto, USA",,,,,
INV0040,Peak XV Partners (Sequoia India),VC,"Bengaluru, India",,,,,
INV0041,California Public Employees' Retirement System (CalPERS),,,,,,,
INV0042,General Catalyst,VC,US,,,India,,
INV0043,CalPERS,pension_fund,"California, US",,,N/A,,
INV0044,Avenir,,,,,,,
INV0045,Glade Brook,VC,UNKNOWN,,,,,
INV0046,Lightspeed,VC,"Bengaluru, India",,,,,
INV0047,StepStone Group,,,,,,,
INV0048,Nexus Venture Partners,VC,India,,,Yes,,
INV0049,unspecified private-placement investors,,,,,,,
INV0050,Glade Brook Capital Partners,VC,UNKNOWN,,,,,
INV0051,unknown,Unknown,Unknown,,,,,
INV0052,domestic investors,,,,,,,
INV0053,Matrix Partners India,VC,"Bengaluru, India",,,,,
INV0054,NTTVC,CVC-corporate,"Tokyo, Japan",,,,,
INV0055,Matrix Partners India (now Z47),VC,"Bengaluru, India",,,Yes (Mumbai/Bengaluru),,
INV0056,Z47,VC,"Mumbai, India",,,Yes,,
INV0057,Blackstone,PE,"New York, US",,,,,
INV0058,Teachers' Venture Growth,PE,"Toronto, Canada",,,,,
INV0059,TVS Capital,VC,"Chennai, India",,,,,
INV0060,360 ONE Asset,PE,"Mumbai, India",,,,,
INV0061,Z47 (fka Matrix Partners India),VC,"Mumbai, India",,,,,
INV0062,Blackstone (private equity funds affiliated),PE,"New York, US",,,Co-investor in Neysa $600M equity round (Entrackr Feb 2026),,
INV0063,Norwest Venture Partners,VC,,,,,,
INV0064,Falcon Edge,VC,UNKNOWN,,,,,
INV0065,Sofina,,,,,,,
INV0066,Alpha Wave Global,Investment Firm,"New York, USA",,,Yes,,
INV0067,Dragoneer,VC,UNKNOWN,,,,,
INV0068,Technology Crossover Ventures (TCV),,,,,,,
INV0069,Partners Group,PE,"Baar, Switzerland",,,,,
INV0070,KKR,PE,"New York, USA",,,Mumbai,,
INV0071,Gravity Holdings,,,,,,,
INV0072,Teachers' Venture Growth (OTPP),PE,"Toronto, Canada",,,,,
INV0073,Together Fund,,,,,,,
INV0074,Prosus Ventures,VC,Netherlands,,,India,,
INV0075,Khosla Ventures,Venture Capital,"Menlo Park, USA",,,No,,
INV0076,Creaegis,PE,"Bengaluru, India",,,,,
INV0077,MNI Ventures-Claypond Capital,,,,,,,
INV0078,Sentinel Global,,,,,,,
INV0079,Google AI Futures Fund,CVC-corporate,"Mountain View, CA, USA",,,,,
INV0080,Sequoia India,,,,,,,
INV0081,Sequoia India (Peak XV),,,,,,,
INV0082,Propel Venture Partners,VC,"San Francisco, US",,,,,
INV0083,Kauffman Fellows,,,,,,,
INV0084,Sequoia Capital India,VC,"Bengaluru, India",,,,,
INV0085,YC Continuity,,,,,,,
INV0086,Iconiq Growth,,,,,,,
INV0087,Alkeon,,,,,,,
INV0088,Steadfast,,,,,,,
INV0089,Iconiq Capital,Investment Firm,,,,Yes,,
INV0090,Peak XV Partners (fka Sequoia India),VC,"Bengaluru, India",,,,,
INV0091,Iconiq Growth/Capital,,,,,,,
INV0092,GIC (Singapore),Sovereign Wealth Fund,Singapore,,,Yes,,
INV0093,Fidelity,Financial Services,"Boston, MA, USA",,,,,
INV0094,Think Investments,VC,India,,,India,,
INV0095,Malabar Investments,Other,UNKNOWN,,,,,
INV0096,Harbor Spring Capital,,,,,,,
INV0097,Neuberger Berman,,,,,,,
INV0098,White Oak,,,,,,,
INV0099,Neeraj Arora,,,,,,,
INV0100,Globespan Capital Partners,Venture Capital,UNKNOWN,,,Yes,,
INV0101,EvolutionX Debt Capital,Debt Fund,,,,Yes,,
INV0102,Fidelity Investments,Asset Management,"Boston, MA, USA",,,Yes,,
INV0103,Tiger Global Management,Hedge Fund/VC,"New York, USA",,,Yes,,
INV0104,Matrix Partners India (Z47),VC,"Bengaluru, India",,,Yes,,
INV0105,others,Other,UNKNOWN,,,,,
INV0106,Bhavish Aggarwal (family office),,,,,,,
INV0107,"Axis Trustee Services (on behalf of Avendus, InCred, India Credit Opportunities)",,,,,,,
INV0108,Avendus,,,,,,,
INV0109,InCred,,,,,,,
INV0110,India Credit Opportunities,,,,,,,
INV0111,HCLTech,CVC-corporate,"Noida, India",,,,,
INV0112,Bessemer Venture Partners,VC,"San Francisco, CA, USA",,,,,
INV0113,Activate,,,,,,,
INV0114,Nvidia,CVC-corporate,"Santa Clara, CA, USA",,,,,
INV0115,Gaja Capital,PE,"Mumbai, India",,,,,
INV0116,IndiGo Ventures,,,,,,,
INV0117,Glade Brook Capital,VC,UNKNOWN,,,,,
INV0118,Lightspeed Venture Partners,VC,"Menlo Park, USA",,,,,
INV0119,Insight Partners,Software-focused VC,"New York, USA",,,Yes,,
INV0120,Rajan Bajaj,,,,,,,
INV0121,Elevation Capital,VC,India,,,India,,
INV0122,Neo Wealth,Other,"Mumbai, India",,,,,
INV0123,Kado Global,,,,,,,
INV0124,Moore Strategic Ventures,Other,"New York, US",,,,,
INV0125,Blume Ventures,VC,India,,,True,,
INV0126,Temasek and others,Sovereign/Govt,Singapore,,,,,
INV0127,Temasek,Sovereign,Singapore,,,True,,
INV0128,angels incl. Bessemer/Steve Blank per CB Insights,,,,,,,
INV0129,BOND,VC,"San Francisco, USA",,,,,
INV0130,BEENEXT,VC,Singapore,,,,,
INV0131,Ramesh Damani,,,,,,,
INV0132,DSP Family Office,,,,,,,
INV0133,JM Financial Family Office,,,,,,,
INV0134,Aashish Somaiyaa,,,,,,,
INV0135,Mirae Asset Venture Investments,VC,,,,,,
INV0136,Kunal Shah,,,,,,,
INV0137,Kalyan Krishnamurthy,,,,,,,
INV0138,Sameer Nigam,,,,,,,
INV0139,Amrish Rau,,,,,,,
INV0140,Pravin Jadhav,,,,,,,
INV0141,Ranjan Pai (MEMG),,,,,,,
INV0142,Prosus,PE,"Amsterdam, Netherlands",,,,,
INV0143,B Capital,VC,"Boston, USA",,,,,
INV0144,Prudent Investment Managers,Investment Management,"Mumbai, India",,,Yes,,
INV0145,Kae Capital,Venture Capital,"Mumbai, India",,,Yes,,
INV0146,Elev8 Venture Partners,Venture Capital,India,,,Yes,,
INV0147,existing angel investors,,,,,,,
INV0148,Prudent Investment Managers (Prashasta Seth),Debt/VC-Debt,"Mumbai, India",,,,,
INV0149,Anicut Capital,Venture Capital,India,,,Yes,,
INV0150,9Unicorns,Accelerator/VC,,,,Yes,,
INV0151,Negen Capital,Investment,,,,Yes,,
INV0152,Ratan Tata,,,,,,,
INV0153,M&G,Financial Services,,,,,,
INV0154,M&G Investments,PE,"London, UK",,,,,
INV0155,new investor,,,,,,,
INV0156,BlackRock (private credit ~$45M reported),,,,,,,
INV0157,DST Global,Investment,,,,Yes,,
INV0158,Tencent,CVC-corporate,,,,,,
INV0159,Multiples Private Equity,,,,,,,
INV0160,CPP Investments,,,,,,,
INV0161,Intact Ventures,,,,,,,
INV0162,Amazon,Corporate,"Seattle, USA",,,Yes,,
INV0163,Catamaran,,,,,,,
INV0164,Elevation Capital (ex-SAIF),VC,"Bengaluru, India",,,,,
INV0165,CPPIB (Canada Pension Plan Investment Board),Pension Fund,,,,Yes,,
INV0166,Multiples PE,Private Equity,,,,Yes,,
INV0167,Paradigm,VC,,,,,,
INV0168,Andreessen Horowitz (a16z),,,,,,,
INV0169,Coinbase Ventures,,,,,,,
INV0170,Kalaari Capital,Venture Capital,"Bengaluru, India",,,Yes,,
INV0171,Chiratae Ventures,Venture Capital,"Bengaluru, India",,,Yes,,
INV0172,Kalaari,VC,"Bengaluru, India",,,,,
INV0173,Chiratae,VC,"Bengaluru, India",,,,,
INV0174,Tata Digital,Corporate Venture,,,,Yes,,
INV0175,Sixth Sense,,,,,,,
INV0176,Zomato,Technology Company,Bengaluru,,,Yes,,
INV0177,Zomato ($100M),,,,,,,
INV0178,South Park Commons,,,,,,,
INV0179,Mukesh Bansal ($5M),,,,,,,
INV0180,Zomato (Eternal),,,,,,,
INV0181,Schroders Capital,Asset Management,,,,Yes,,
INV0182,Hrithik Roshan,Individual / Angel,,,,Yes,,
INV0183,Bruno Raschle,Angel Investor,,,,Yes,,
INV0184,Fireside Ventures,Venture Capital,"Bengaluru, India",,,Yes,,
INV0185,Unilever Ventures,Corporate Venture,,,,Yes,,
INV0186,MacRitchie Investments,Investment,,,,Yes,,
INV0187,early employees (liquidity),,,,,,,
INV0188,Canaan Partners,Venture Capital,,,,No,,
INV0189,Coelius Capital,Investment,,,,No,,
INV0190,Deep Ventures,Venture Capital,,,,No,,
INV0191,F7 Ventures,Venture Capital,,,,No,,
INV0192,Forum Ventures,Venture Capital,,,,No,,
INV0193,Right Side Capital Management,Venture Capital,,,,No,,
INV0194,April Underwood,Angel Investor,,,,No,,
INV0195,Sandhya Venkatachalam,Angel Investor,,,,No,,
