link_id,startup_id,investor_id,investor_name,investor_type,round_type,round_date,first_seen,rounds,lead,disclosed_amount,amount,board_seat,status,source_id,confidence
IL00001,S0001,INV0001,Kedaara Capital,,Series D,2025-04-07,,,lead,60.0,,,,SRC00001,HIGH
IL00002,S0001,INV0002,SoftBank,,Series D,2025-04-07,,,,60.0,,,,SRC00001,HIGH
IL00003,S0001,INV0003,Accel,,Series D,2025-04-07,,,,60.0,,,,SRC00001,HIGH
IL00004,S0001,INV0001,Kedaara Capital,,Series D,2025-04-07,,,lead,60.0,,,,SRC00001,HIGH
IL00005,S0001,INV0004,WestBridge Capital,,Series D follow-on,2026-01-23,,,lead,50.0,,,,SRC00002,HIGH
IL00006,S0001,INV0004,WestBridge Capital,,Series D follow-on,2026-01-23,,,lead,50.0,,,,SRC00002,HIGH
IL00007,S0001,INV0005,SoftBank Vision Fund 2,,Series C,2021-12-15,,,lead,60.0,,,,SRC00013,HIGH
IL00008,S0001,INV0003,Accel,,Series C,2021-12-15,,,,60.0,,,,SRC00013,HIGH
IL00009,S0001,INV0006,existing investors,,Series C,2021-12-15,,,,60.0,,,,SRC00013,HIGH
IL00010,S0001,INV0005,SoftBank Vision Fund 2,,Series C,2021-12-15,,,lead,60.0,,,,SRC00013,HIGH
IL00011,S0001,INV0001,Kedaara Capital,PE,,,2025-04,['Series D'],True,,,,,SRC00001,HIGH
IL00012,S0001,INV0004,WestBridge Capital,VC,,,2026-01,['Series D follow-on'],True,,,,,SRC00002,HIGH
IL00013,S0001,INV0007,SoftBank Vision Fund,VC,,,2021,['Series D'],False,,,,,SRC00001,HIGH
IL00014,S0001,INV0003,Accel,VC,,,2015,['Series D'],False,,,,,SRC00001,HIGH
IL00015,S0001,INV0005,SoftBank Vision Fund 2,VC,,,2021,['Series C'],True,,60,,,SRC00013,HIGH
IL00016,S0002,INV0008,Motilal Oswal Alternates,,Series E,2026-04-08,,,lead,280.0,,,,SRC00031,HIGH
IL00017,S0002,INV0009,Hornbill Capital,,Series E,2026-04-08,,,lead,280.0,,,,SRC00031,HIGH
IL00018,S0002,INV0010,MUFG-backed Dragon Funds,,Series E,2026-04-08,,,lead,280.0,,,,SRC00031,HIGH
IL00019,S0002,INV0011,WhiteOak Capital,,Series E,2026-04-08,,,,280.0,,,,SRC00031,HIGH
IL00020,S0002,INV0012,A.P. Moller Holding,,Series E,2026-04-08,,,,280.0,,,,SRC00031,HIGH
IL00021,S0002,INV0013,Premji Invest,,Series E,2026-04-08,,,,280.0,,,,SRC00031,HIGH
IL00022,S0002,INV0014,Advent International,,Series E,2026-04-08,,,,280.0,,,,SRC00031,HIGH
IL00023,S0002,INV0008,Motilal Oswal Alternates,,Series E,2026-04-08,,,lead,280.0,,,,SRC00031,HIGH
IL00024,S0002,INV0009,Hornbill Capital,,Series E,2026-04-08,,,lead,280.0,,,,SRC00031,HIGH
IL00025,S0002,INV0010,MUFG-backed Dragon Funds,,Series E,2026-04-08,,,lead,280.0,,,,SRC00031,HIGH
IL00026,S0002,INV0015,MUFG,,Series D extension,2023-01-01,,,lead,200.0,,,,SRC00032,MEDIUM
IL00027,S0002,INV0015,MUFG,,Series D extension,2023-01-01,,,lead,200.0,,,,SRC00032,MEDIUM
IL00028,S0002,INV0016,Motilal Oswal,,Series D extension,2024-03-27,,,lead,9.4,,,,SRC00041,MEDIUM
IL00029,S0002,INV0017,Newquest,,Series D extension,2024-03-27,,,,9.4,,,,SRC00041,MEDIUM
IL00030,S0002,INV0013,Premji Invest,,Series D extension,2024-03-27,,,,9.4,,,,SRC00041,MEDIUM
IL00031,S0002,INV0018,Mirae Asset,,Series D extension,2024-03-27,,,,9.4,,,,SRC00041,MEDIUM
IL00032,S0002,INV0015,MUFG,,Series D extension,2024-03-27,,,,9.4,,,,SRC00041,MEDIUM
IL00033,S0002,INV0019,Wiseanya,,Series D extension,2024-03-27,,,,9.4,,,,SRC00041,MEDIUM
IL00034,S0002,INV0016,Motilal Oswal,,Series D extension,2024-03-27,,,lead,9.4,,,,SRC00041,MEDIUM
IL00035,S0002,INV0015,MUFG,,Series D,2023-01-06,,,lead,200.0,,,,SRC00032,MEDIUM
