investor_id,name,type,geography,companies_backed,total_rounds,lead_rounds,first_investment,startup_ids,source_id,notes
INV0001,Kedaara Capital,PE,Mumbai,4,0,3,,S0001;S0037;S0111;S0231,SRC00001,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=4); no quality rating.
INV0002,SoftBank,Investment,"Tokyo, Japan",5,0,2,,S0001;S0038;S0042;S0085;S0351,SRC00001,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=5); no quality rating.
INV0003,Accel,VC,San Francisco,34,0,9,,S0001;S0007;S0015;S0017;S0023;S0025;S0031;S0039;S0040;S0051;S0062;S0068;S0071;S0082;S0087;S0094;S0095;S0103;S0106;S0107;S0120;S0134;S0137;S0144;S0164;S0167;S0171;S0178;S0191;S0207;S0229;S0238;S0255;S0287,SRC00001,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=34); no quality rating.
INV0004,WestBridge Capital,VC,Singapore,12,0,6,,S0001;S0029;S0049;S0051;S0057;S0062;S0075;S0076;S0097;S0114;S0283;S0287,SRC00002,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=12); no quality rating.
INV0005,SoftBank Vision Fund 2,VC,Japan,6,0,5,,S0001;S0010;S0035;S0036;S0049;S0094,SRC00013,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=6); no quality rating.
INV0006,existing investors,,,7,0,0,,S0001;S0023;S0036;S0052;S0089;S0213;S0238,SRC00013,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=7); no quality rating.
INV0007,SoftBank Vision Fund,VC,"Tokyo, Japan",9,0,3,,S0001;S0033;S0085;S0135;S0138;S0139;S0171;S0231;S0310,SRC00001,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=9); no quality rating.
INV0008,Motilal Oswal Alternates,PE,UNKNOWN,1,0,1,,S0002,SRC00031,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0009,Hornbill Capital,Hedge Fund,"Mumbai, India",4,0,3,,S0002;S0018;S0097;S0114,SRC00031,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=4); no quality rating.
INV0010,MUFG-backed Dragon Funds,Sovereign/Govt,"Tokyo, Japan",1,0,0,,S0002,SRC00031,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0011,WhiteOak Capital,,,3,0,0,,S0002;S0046;S0169,SRC00031,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=3); no quality rating.
INV0012,A.P. Moller Holding,,,1,0,0,,S0002,SRC00031,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0013,Premji Invest,family office/PE,"Mumbai, India",10,0,5,,S0002;S0007;S0028;S0063;S0092;S0107;S0110;S0117;S0143;S0231,SRC00031,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=10); no quality rating.
INV0014,Advent International,PE,Global,3,0,1,,S0002;S0120;S0258,SRC00031,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=3); no quality rating.
INV0015,MUFG,Sovereign/Govt,"Tokyo, Japan",3,0,1,,S0002;S0018;S0176,SRC00032,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=3); no quality rating.
INV0016,Motilal Oswal,PE,UNKNOWN,3,0,0,,S0002;S0031;S0116,SRC00041,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=3); no quality rating.
INV0017,Newquest,,,1,0,0,,S0002,SRC00041,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0018,Mirae Asset,VC,,3,0,0,,S0002;S0038;S0116,SRC00041,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=3); no quality rating.
INV0019,Wiseanya,,,1,0,0,,S0002,SRC00041,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0020,TPG,PE,Global,7,0,2,,S0002;S0019;S0041;S0048;S0110;S0120;S0163,SRC00032,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=7); no quality rating.
INV0021,TPG-backed NewQuest Capital Partners,PE,"San Francisco, CA, USA",1,0,0,,S0002,SRC00042,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0022,Motilal Oswal Private Equity,,,1,0,0,,S0002,SRC00042,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0023,Mirae Asset Ventures,,,1,0,0,,S0002,SRC00043,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0024,Alpine Capital Advisors,,,1,0,0,,S0002,SRC00043,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0025,Arkam Ventures,VC,"Bengaluru, India",6,0,0,,S0002;S0047;S0065;S0079;S0117;S0193,SRC00043,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=6); no quality rating.
INV0026,MUFG (Dragon Funds),Sovereign/Govt,"Tokyo, Japan",1,0,1,,S0002,SRC00031,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0027,General Atlantic,growth equity,USA (global),7,0,6,,S0003;S0007;S0020;S0023;S0032;S0038;S0064,SRC00080,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=7); no quality rating.
INV0028,Walmart,CVC-corporate,,3,0,1,,S0003;S0036;S0071,SRC00080,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=3); no quality rating.
INV0029,Tiger Global,growth,USA,29,0,12,,S0003;S0004;S0008;S0011;S0012;S0015;S0021;S0024;S0031;S0038;S0041;S0049;S0052;S0053;S0054;S0057;S0064;S0067;S0068;S0071;S0085;S0093;S0112;S0134;S0135;S0137;S0183;S0228;S0354,SRC00080,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=29); no quality rating.
INV0030,Microsoft,CVC-corporate,"Redmond, US",4,0,0,,S0003;S0009;S0138;S0258,SRC00080,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=4); no quality rating.
INV0031,Ribbit,,,2,0,0,,S0003;S0054,SRC00080,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0032,Walmart (WM Digital Commerce Holdings),CVC-corporate,,1,0,1,,S0003,SRC00072,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0033,Lone Pine Capital,Hedge Fund,,4,0,1,,S0004;S0011;S0072;S0142,SRC00099,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=4); no quality rating.
INV0034,Alkeon Capital,,,2,0,1,,S0004;S0242,SRC00099,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0035,TCV,VC,"Menlo Park, USA",3,0,1,,S0004;S0009;S0041,SRC00099,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=3); no quality rating.
INV0036,GIC,Sovereign/Govt,Singapore,10,0,4,,S0004;S0008;S0011;S0036;S0055;S0065;S0097;S0135;S0139;S0142,SRC00099,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=10); no quality rating.
INV0037,Peak XV Partners,VC,"Bengaluru, India",29,0,9,,S0004;S0009;S0014;S0015;S0037;S0038;S0040;S0044;S0053;S0061;S0062;S0066;S0072;S0086;S0096;S0098;S0117;S0127;S0129;S0152;S0161;S0162;S0178;S0195;S0228;S0229;S0266;S0310;S0352,SRC00099,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=29); no quality rating.
INV0038,Y Combinator,Accelerator/Micro-VC,"Mountain View, USA",8,0,1,,S0004;S0005;S0010;S0011;S0049;S0091;S0129;S0229,SRC00099,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=8); no quality rating.
INV0039,Ribbit Capital,VC,"Palo Alto, USA",5,0,0,,S0004;S0011;S0024;S0031;S0054,SRC00093,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=5); no quality rating.
INV0040,Peak XV Partners (Sequoia India),VC,"Bengaluru, India",7,0,3,,S0004;S0008;S0024;S0044;S0054;S0086;S0138,SRC00093,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=7); no quality rating.
INV0041,California Public Employees' Retirement System (CalPERS),,,1,0,0,,S0005,SRC00104,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0042,General Catalyst,VC,US,4,0,2,,S0005;S0118;S0150;S0182,SRC00104,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=4); no quality rating.
INV0043,CalPERS,pension_fund,"California, US",2,0,2,,S0005;S0181,SRC00104,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0044,Avenir,,,1,0,0,,S0005,SRC00104,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0045,Glade Brook,VC,UNKNOWN,1,0,0,,S0005,SRC00104,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0046,Lightspeed,VC,"Bengaluru, India",15,0,4,,S0005;S0009;S0010;S0014;S0023;S0040;S0052;S0053;S0058;S0063;S0080;S0138;S0187;S0234;S0304,SRC00104,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=15); no quality rating.
INV0047,StepStone Group,,,1,0,0,,S0005,SRC00104,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0048,Nexus Venture Partners,VC,India,16,0,2,,S0005;S0006;S0027;S0031;S0034;S0047;S0051;S0068;S0074;S0075;S0135;S0144;S0165;S0197;S0226;S0290,SRC00104,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=16); no quality rating.
INV0049,unspecified private-placement investors,,,1,0,0,,S0005,SRC00108,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0050,Glade Brook Capital Partners,VC,UNKNOWN,2,0,0,,S0005;S0258,SRC00110,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=2); no quality rating.
INV0051,unknown,Unknown,Unknown,7,0,0,,S0005;S0096;S0140;S0199;S0330;S0332;S0333,SRC00110,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=7); no quality rating.
INV0052,domestic investors,,,1,0,0,,S0005,SRC00110,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
INV0053,Matrix Partners India,VC,"Bengaluru, India",6,0,0,,S0006;S0013;S0030;S0085;S0090;S0258,SRC00117,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=6); no quality rating.
INV0054,NTTVC,CVC-corporate,"Tokyo, Japan",1,0,1,,S0006,SRC00117,INVESTORS+INVESTOR_LINKS join; company count=distinct startup_ids in links (n=1); no quality rating.
