location_id,startup_id,type,address_or_area,city,state,neighborhood,as_of,source_id,confidence,notes
LOC0001,S0001,HQ,,Bengaluru,Karnataka,,2026,SRC00003,HIGH,
LOC0002,S0001,hq,"Stallion Business Centre, No. 444, 3rd & 4th Floor, 18th Main, 6th Block, Koramangala",Bengaluru,Karnataka,,2026-09-15,SRC00010,HIGH,
LOC0003,S0001,registered_office,"Stallion Business Centre, No. 444, 3rd & 4th Floor, 18th Main, 6th Block, Koramangala",Bengaluru,Karnataka,,2026-09-15,SRC00010,HIGH,
LOC0004,S0002,HQ,,Bengaluru,Karnataka,,2026-04-08,SRC00057,HIGH,
LOC0005,S0002,hq,"4th Floor, Anjaneya Techno Park, No. 147, HAL Old Airport Road, ISRO Colony, Kodihalli",Bengaluru,Karnataka,,2026-09-15,SRC00058,HIGH,
LOC0006,S0002,registered_office,"3rd Floor, No.128/9, Maruthi Sapphire, HAL Airport Road, Murugesh Palya",Bengaluru,Karnataka,,2026-09-15,SRC00049,HIGH,
LOC0007,S0003,HQ,,Bengaluru,Karnataka,,2025-09-24,SRC00084,HIGH,
LOC0008,S0003,hq,Bengaluru,Bengaluru,Karnataka,,2026-09-15,SRC00077,HIGH,
LOC0009,S0003,registered_office,"Bengaluru, Karnataka",Bengaluru,Karnataka,,2026-09-15,SRC00075,MEDIUM,CIN U67190KA2012PLC176031 suggests Karnataka registration
LOC0010,S0004,HQ,,Bengaluru,Karnataka,,2025-01-01,SRC00101,HIGH,
LOC0011,S0005,HQ,,Mumbai,Maharashtra,,2025-10-16,SRC00110,HIGH,
LOC0012,S0005,hq,Mumbai,Mumbai,Maharashtra,,2025-10-16,SRC00110,HIGH,
LOC0013,S0005,registered_office,"Mumbai, Maharashtra",Mumbai,Maharashtra,,2025-12-25,SRC00106,MEDIUM,
LOC0014,S0005,ops,Bengaluru,Bengaluru,Karnataka,,2025-10-16,SRC00110,MEDIUM,
LOC0015,S0006,HQ,,Mumbai,Maharashtra,,2026-02,SRC00115,HIGH,
LOC0016,S0006,office,,Bengaluru,,,2026-02,SRC00115,MEDIUM,
LOC0017,S0006,office,,Chennai,,,2026-02,SRC00115,MEDIUM,
LOC0018,S0006,hq,Mumbai,Mumbai,Maharashtra,,2026-02,SRC00115,HIGH,
LOC0019,S0006,office,Bengaluru,Bengaluru,Karnataka,,2026-02,SRC00115,MEDIUM,
LOC0020,S0006,office,Chennai,Chennai,Tamil Nadu,,2026-02,SRC00115,MEDIUM,
LOC0021,S0006,rd,Hyderabad 400MW AI data center cluster (NTT Data + Neysa + Telangana govt MoU),Hyderabad,Telangana,,2025-04-18,SRC00124,HIGH,"Rs 10,500 crore AI data center cluster; 400MW capacity"
LOC0022,S0007,HQ,,Bengaluru,Karnataka,,2026-01-01,SRC00138,HIGH,
LOC0023,S0008,HQ,,Bengaluru,Karnataka,,,SRC00147,HIGH,
LOC0024,S0009,HQ,,Hyderabad,Telangana,,,SRC00163,HIGH,
LOC0025,S0010,HQ,,Bengaluru,Karnataka,,,SRC00169,MEDIUM,
LOC0026,S0010,office,,San Francisco,California,,,SRC00169,MEDIUM,
LOC0027,S0011,HQ,"Vaishnavi Tech Park, South Tower, 3rd Floor, Sarjapur Main Road, Bellandur",Bengaluru,Karnataka,,2025,SRC00210,HIGH,
LOC0028,S0011,hq,"Vaishnavi Tech Park, South Tower, 3rd Floor, Survey No.16/1 & 17/2, Ambalipura Village, Varthur Hobli, Bellandur",Bengaluru,Karnataka,,2026-09-16,SRC00191,HIGH,
LOC0029,S0011,registered_office,"Vaishnavi Tech Park, South Tower, 3rd Floor, Survey No.16/1 & 17/2, Ambalipura Village, Varthur Hobli, Bellandur, Bangalore South",Bengaluru,Karnataka,,2026-09-16,SRC00191,HIGH,
LOC0030,S0011,office,"505 - 5th Floor, Tower 2B, One World Centre, Near Prabhadevi Railway Station, Lower Parel",Mumbai,Maharashtra,,2026-09-16,SRC00211,HIGH,Groww Asset Management Limited corporate office
LOC0031,S0012,HQ,,San Francisco,California,,2026,SRC00234,MEDIUM,
LOC0032,S0012,office,,Mumbai,Maharashtra,,2026,SRC00235,MEDIUM,
LOC0033,S0013,HQ,,Bengaluru,Karnataka,,2024,SRC00239,HIGH,
LOC0034,S0013,registered_office,"Wing C, Prestige RMZ Star Tech Industrial Layout, Hosur Road, Bangalore South",Bengaluru,Karnataka,,2026-09-15,SRC00253,HIGH,
LOC0035,S0013,ops,Bengaluru and San Francisco,Bengaluru,Karnataka,,2024-01,SRC00239,HIGH,Team of computer scientists based in Bengaluru and San Francisco
LOC0036,S0014,HQ,,Bengaluru,Karnataka,,2026,SRC00262,HIGH,
LOC0037,S0015,HQ,,Bengaluru,Karnataka,,2026,SRC00277,HIGH,
LOC0038,S0016,HQ,,Mumbai,Maharashtra,,2026,SRC00316,HIGH,
LOC0039,S0016,hq,Mumbai,Mumbai,Maharashtra,,2026-09-15,SRC00316,HIGH,
LOC0040,S0016,registered_office,MCA registered office,Mumbai,Maharashtra,,2026-09-15,SRC00293,HIGH,
LOC0041,S0016,office,Global operations (85+ countries),Multiple,Multiple,,2026-09-15,SRC00304,MEDIUM,
LOC0042,S0017,registered,,Dublin,,,2026,SRC00350,HIGH,
LOC0043,S0017,HQ,,Mumbai,Maharashtra,,2026,SRC00333,HIGH,
LOC0044,S0017,office,,San Francisco,,,2021,SRC00332,MEDIUM,
LOC0045,S0017,office,,New York,,,2021,SRC00341,MEDIUM,
