event_id,startup_id,event_date,announced_date,type,headline,description,source_id,confidence
EVT00001,S0001,2025-04-07,2025-04-07,funding,Series D $60Mn,"$60Mn Series D led by Kedaara Capital, SoftBank + Accel participated; valued ~$900Mn",SRC00001,HIGH
EVT00002,S0001,2026-01-23,2026-01-23,funding,Series D follow-on $50Mn at $1.2Bn,$50Mn Series D follow-on from WestBridge Capital at $1.2Bn; first unicorn of 2026,SRC00002,HIGH
EVT00003,S0001,2024-02,2024-02,regulatory,RBI PA licence,Payment aggregator licence from RBI,SRC00003,HIGH
EVT00004,S0001,2021-12-15,,funding,Series C $60M led by SoftBank,Raised $60M in Series C led by SoftBank Vision Fund 2; valued at $460M,SRC00013,HIGH
EVT00005,S0001,2024-02-07,,regulatory,RBI Payment Aggregator licence,RBI approved Juspay's application to operate as a payment aggregator,SRC00016,HIGH
EVT00006,S0001,2023-09-12,,partnership,HyperUPI launch with Yes Bank,Launched NPCI's UPI plug-in SDK in partnership with Yes Bank; Gullak first merchant,SRC00022,HIGH
EVT00007,S0001,2025-04-07,,funding,Series D $60M led by Kedaara Capital,"Raised $60M from Kedaara Capital (lead), SoftBank, Accel; valued ~$900M",SRC00001,HIGH
EVT00008,S0001,2025-01-20,,partnership,"PhonePe, Razorpay, Cashfree exit Juspay",Major payment aggregators moved away from Juspay orchestration to direct merchant integration,SRC00015,HIGH
EVT00009,S0001,2026-01-23,,funding,Series D follow-on $50M from WestBridge at $1.2Bn,First unicorn of 2026; $50M follow-on at $1.2Bn valuation,SRC00002,HIGH
EVT00010,S0001,2025-03-25,,product_launch,Hyperswitch open-source expansion to US/Europe/UK,Juspay open-sourced its payments routing engine and expanded Hyperswitch globally,SRC00021,HIGH
EVT00011,S0001,2026-06-01,,partnership,Juspay joins Mastercard Engage network,Certified third-party partner for Mastercard Click to Pay; expanding across Asia after Brazil rollout,SRC00012,HIGH
EVT00012,S0001,2025-11-12,,financial,FY25 profitability report,"Revenue Rs 514 Cr (+61% YoY), PAT Rs 62 Cr; daily transactions 300M+; annualised TPV $1Tn",SRC00009,HIGH
EVT00013,S0001,2020-08-18,,security_incident,Data breach (historical),"Data breach detected Aug 2020, disclosed Jan 2021; ~35M user records compromised via unrecycled AWS access key",SRC00017,HIGH
EVT00014,S0001,2024-12,,lawsuit,PhonePe/Razorpay/Cashfree dispute,Payment aggregators pushed merchants away from Juspay orchestration; commercially overcome,SRC00003,MEDIUM
EVT00015,S0002,2026-04-08,2026-04-08,funding,"KreditBee raises $280M Series E at $1.5B, enters unicorn club",$280M Series E ($220M primary + $60M secondary) at $1.5B post-money; reverse-flip to India done Jul 2025; NBFC+tech merger pending NCLT nod before IPO filing; IPO window end-2026/early-2027.,SRC00031,HIGH
EVT00016,S0002,2026-04-08,,funding,"KreditBee raises $280M Series E at $1.5B valuation, enters unicorn club","$220M primary + $60M secondary at $1.5B post-money; led by Motilal Oswal Alternates, Hornbill Capital, MUFG-backed Dragon Funds; last private round before IPO",SRC00031,HIGH
EVT00017,S0002,2025-07-23,,ipo,Board approves conversion to public entity,Kreditbee secured board approval to convert into a public limited company; special resolution passed per ET report,SRC00062,HIGH
EVT00018,S0002,2025-07-01,,restructuring,Reverse-flip from Singapore to India completed,KreditBee completed domicile shift from Singapore to India; paid ~$100M in tax; Finnov Private Limited (Singapore) dissolved,SRC00063,HIGH
EVT00019,S0002,2025-07-01,,merger,Amalgamation of Kartbee Technologies into Finnovation Tech Solutions,Board approved merger of technology arm (Finnovation Tech) and NBFC arm (KrazyBee Services); awaiting NCLT nod before IPO filing,SRC00064,MEDIUM
EVT00020,S0002,2023-01-06,,funding,Series D extension at $680M valuation,$200M Series D led by MUFG; valued at $680M,SRC00032,HIGH
EVT00021,S0002,2021-03-22,,funding,Series C total $145M; Chinese investors exit,"Second tranche of $70M; Xiaomi, Shunwei, Kunlun made complete exit (previously held ~40% stake)",SRC00042,HIGH
EVT00022,S0002,2026-04-08,,partnership,Co-lending partnerships with 10+ financial institutions,"Partners include Northern Arc Capital, MAS Financial Services, PayU Finance, Kisetsu Saison, Piramal Finance, Cholamandalam, Mirae Asset, Tata Capital, AU Small Finance Bank, Fullerton India, IIFL, Incred, Vivriti Capital",SRC00040,HIGH
EVT00023,S0002,2026-07-27,,rating,CRISIL rating upgrade to A+/Stable/A1+,CRISIL upgraded KrazyBee Services ratings; total bank facilities Rs 1850 crore rated,SRC00061,HIGH
EVT00024,S0002,2026-03-19,,rating,"CARE Ratings reaffirms A/Stable; AUM Rs 13,141 crore","CARE reaffirmed ratings; AUM grew to Rs 13,141 crore as on Dec 31, 2025; 9MFY26 PAT Rs 341 crore",SRC00038,HIGH
EVT00025,S0003,2025-09-24,2025-09-24,IPO filing,PhonePe files confidential IPO papers with SEBI,"Confidential pre-filed DRHP; pure OFS; bankers Kotak, Citi, Morgan Stanley, JPMorgan.",SRC00085,HIGH
