person_id,startup_id,name,position,start_date,end_date,prev,linkedin,source_id,confidence
P0001,S0001,Vimal Kumar (Vivekananthamoorthy Vimalkumar),Co-founder & CEO,,,,,SRC00006,HIGH
P0002,S0001,Sheetal Lalwani (Sheetal Pai),Co-founder & COO,,,,,SRC00007,HIGH
P0003,S0001,Ramanathan R.V.,Co-founder (exited 2019),,,,,SRC00003,MEDIUM
P0004,S0001,Abhinay Subramanya,NOT a Juspay founder,,,,,SRC00008,LOW
P0008,S0002,Madhusudan Ekambaram,Co-founder & CEO,,,,,SRC00031,HIGH
P0006,S0002,Karthikeyan Krishnaswamy,Co-founder & CTO,,,,,SRC00041,HIGH
P0007,S0002,Vivek Veda,Co-founder & CFO,,,,,SRC00041,HIGH
P0009,S0002,Wan Hong,Co-founder,,,,,SRC00044,MEDIUM
P0010,S0002,Ajeet Kumar,Chief Operating Officer,,,,,SRC00045,MEDIUM
P0011,S0002,Ishan Bose,Chief Marketing Officer,,,,,SRC00045,MEDIUM
P0012,S0002,Rachit Agarwal,Chief Product Officer,,,,,SRC00045,MEDIUM
P0013,S0002,Mukesh Solanki,Chief Information Security Officer,,,,,SRC00045,MEDIUM
P0017,S0003,Ankit Gunvantrai Popat,Company Secretary & Compliance Officer,,,,,SRC00079,MEDIUM
P0014,S0003,Sameer Nigam,"Founder, Whole-time Director and CEO",,,,,SRC00077,HIGH
P0015,S0003,Rahul Chari,"Founder, Whole-time Director and CTO",,,,,SRC00077,HIGH
P0016,S0003,Burzin Engineer,Founder and Chief Reliability Officer,,,,,SRC00077,HIGH
P0018,S0003,Rohit Bhagat,Chairperson of the Board and Non-Executive Independent Director,,,,,SRC00077,HIGH
P0019,S0003,Tarun Bajaj,Non-Executive Independent Director,,,,,SRC00077,HIGH
P0020,S0003,Manish Sabharwal,Non-Executive Independent Director,,,,,SRC00077,HIGH
P0021,S0003,Zarin Daruwala,Non-Executive Independent Director,,,,,SRC00077,HIGH
P0022,S0003,Leigh Hopkins,Non-Executive Nominee Director,,,,,SRC00077,HIGH
P0023,S0003,Donna Morris,Non-Executive Nominee Director,,,,,SRC00077,HIGH
P0024,S0003,John David Rainey,Non-Executive Nominee Director,,,,,SRC00077,HIGH
P0025,S0003,Chris Nicholas,Non-Executive Nominee Director (Additional),,,,,SRC00077,HIGH
P0026,S0003,Karthik Raghupathy,Strategy Head,,,,,SRC00078,MEDIUM
P0027,S0003,Nilesh D Naik,PhonePe Wealth,,,,,SRC00078,MEDIUM
P0030,S0004,Arpit Chug,CFO,,,,,SRC00091,MEDIUM
P0031,S0005,Aadit Palicha,Co-founder & CEO,,,,,SRC00110,HIGH
P0032,S0005,Kaivalya Vohra,Co-founder,,,,,SRC00110,HIGH
P0033,S0005,Albinder Dhindsa,CEO,,,,,SRC00106,HIGH
P0034,S0005,ED summons recipients,Co-founders,,,,,SRC00109,HIGH
P0037,S0006,B V Jagadeesh,Chairman,,,,,SRC00117,MEDIUM
P0035,S0006,Sharad Sanghi,Co-founder & CEO,,,,,SRC00121,HIGH
P0036,S0006,Anindya Das,Co-founder & CTO,,,,,SRC00122,HIGH
P0048,S0011,Lalit Keshre,Co-founder & CEO,,,,,SRC00184,
P0049,S0011,Harsh Jain,Co-founder & COO,,,,,SRC00184,
P0050,S0011,Ishan Bansal,Co-founder,,,,,SRC00184,
P0051,S0011,Neeraj Singh,Co-founder,,,,,SRC00184,
P0051,S0011,Neeraj Singh,Co-founder & CTO,,,,,SRC00189,HIGH
P0050,S0011,Ishan Bansal,Co-founder & CFO,,,,,SRC00177,HIGH
P0052,S0011,Satya Nadella,Angel investor,,,,,SRC00190,HIGH
P0053,S0011,Prajal Kulkarni,Chief Information Security Officer,,,,,SRC00190,MEDIUM
P0054,S0011,Pradeep Chowdhury,CFO,,,,,SRC00190,MEDIUM
P0055,S0011,Roshan Dave,Company Secretary & Compliance Officer,,,,,SRC00191,MEDIUM
P0057,S0012,Ravi Dugar,CFO,,,,,SRC00232,MEDIUM
P0058,S0012,Sheth (co-founder),Co-founder,,,,,SRC00217,
P0059,S0012,Andy Goldfarb,Cofounder & Managing Partner (Globespan),,,,,SRC00225,
P0060,S0013,Bhavish Aggarwal,"Founder, CEO",,,,,SRC00239,HIGH
P0061,S0013,Krishnamurthy Venugopala Tenneti,Co-founding Director,,,,,SRC00239,MEDIUM
P0062,S0013,Navendu Agarwal,"SVP, Head of Business",,,,,SRC00249,MEDIUM
