startup_id,company,city,company_class,cohort,priority_rank,completeness_pct,source_quality_pct,freshness_pct,conflict_level,open_tasks,open_P1,verification_tasks,unresolved_conflicts,identity_missing,founders_missing,funding_missing,investors_missing,financials_missing,products_missing,traction_missing,people_missing,customers_missing,legal_missing,locations_missing,events_missing,technology_missing,next_best_action,last_researched,last_verified
S0001,Juspay,Bengaluru,Mature private company,,174,95.8,100.0,100,high,0,0,4,2,,,,,,,,,,,,,1,,2026-09-14,2026-09-15
S0002,KreditBee,Bengaluru,Mature private company,,194,97.9,100.0,100,high,0,0,8,6,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0003,PhonePe,Bengaluru,Mature private company,,115,91.7,100.0,100,high,0,0,7,5,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0004,Razorpay,Bengaluru,Mature private company,EXHAUST,28,64.6,100.0,100,low,6,6,0,0,,,,,,,,,1,,,,1,document product portfolio w/ launch/discontinuation status (company source first),2026-09-14,2026-09-15
S0005,Zepto,Mumbai,Mature private company,,205,95.8,100.0,100,high,0,0,5,1,,,,,,,,,,,,,1,,2026-09-15,p3-merge
S0006,Neysa,Mumbai,Startup,,110,83.3,100.0,100,moderate,0,0,7,1,,,,,,,,,,,,,,,2026-09-15,2026-09-15
S0007,Amagi,Bengaluru,Public company,,252,64.6,100.0,100,low,0,0,0,1,,,,,,,,1,,,,,1,,2026-09-14,2026-09-15
S0008,CRED,Bengaluru,Scale-up,EXHAUST,38,64.6,80.0,100,low,8,8,0,1,,,,,,,,1,,,,,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0009,Darwinbox,Hyderabad,Scale-up,,107,60.4,100.0,100,low,0,0,0,1,,,,,,,,1,,,,,1,,2026-09-14,2026-09-15
S0010,Emergent,Bengaluru,Scale-up,TARGET,63,58.3,100.0,100,low,8,0,0,1,,,,,,,,1,,,,1,1,complete investor register per round (lead vs participating) w/ round links,2026-09-14,2026-09-15
S0011,Groww,Bengaluru,Public company,TARGET,60,87.5,100.0,100,high,4,0,8,6,,,,,,,,,1,,,,1,"resolve legal_name conflict: 'Billionbrains Garage Ventures Limite' vs 'Billionbrains Garage Ventures Limite' (primary source, then prefer)",2026-09-15,p3-merge
