date,startup_id,company,query,found,unresolved,next_action,agent,status,reps
2026-09-14,ALL,(universe construction),Discovery waves: hubs+unicorns / sector lists / events+recency (web_search via subagent_opencode),"379 deduped candidates (d1 139, d2 174, d3 120 rows pre-dedupe); Mumbai 64, Bengaluru 155",DPIIT full registry not bulk-downloadable; aggregates captured in SOURCES meta notes,Deep-enrich top-priority shortlist,orchestrator,done,
2026-09-14,ALL,(enrichment waves),"Pilot + 3 deep waves (58 cos) + lite wave (24 cos) via subagent_opencode, tinyfish fallback lane",83 enriched JSONs; 251 funding rounds; 114 conflicts preserved; seed corrections Zepto/Darwinbox/Gupshup/Sarvam/MoEngage/Moglix/BrowserStack,429 rate-limits handled via serialisation + fallback; 2 parallel-wave losses recovered by checkpoint protocol,Final workbook build + link-liveness audit,orchestrator,done,
2026-09-14,ALL,(QC layer),validate_db (FK/dup/format/caps) + URL liveness probe over all SOURCES + OOXML hyperlink/table/chart persistence audit,0 validator ISSUES; 610/751 urls LIVE; 124 bot-blocked(vault-captured); 10 DEAD downgraded LOW; 6 charts cached; rels verified,MCA audited filings + CINs remain the structural gap ceiling (no machine source); 284 shallow rows are the queued backlog,Extensible: add SOURCES row -> reference source_id -> tables auto-expand,orchestrator,done,
2026-09-14,S0001,Juspay,Juspay unicorn Series D SoftBank (tinyfish),$60Mn Series D Kedaara/SoftBank/Accel Apr 2025; $50Mn WestBridge Jan 2026 at $1.2Bn unicorn,Series C not re-verified,done,subagent,logged,1
2026-09-14,S0001,Juspay,Juspay founders revenue FY24 FY25,"Founders Vimal/Sheetal (+Ramanathan exited 2019); FY25 Rs 514Cr +62Cr PAT; $1Tn TPV, 300Mn txns/day, 500+ enterprises",none,done,subagent,logged,1
2026-09-14,S0001,Juspay,FS-wave founder status,3 founders updated,,none,subagent,logged,78
2026-09-14,S0002,KreditBee,KreditBee funding $280M 2026 valuation founders,"Series E $280M/$1.5B confirmed across 6+ outlets; founders, leads, AUM, FY25 press figures",Audited FY25; CIN,Verify audited FY25 MCA filing + CIN when available,subagent,logged,1
2026-09-14,S0002,KreditBee,KreditBee revenue FY24 FY23 profit KrazyBee,"FY24 NBFC Rs 1,399cr rev / Rs 200cr PAT; consolidated PAT Rs 285cr; AUM Rs 7,644cr FY24",FY25 audit pending,none,subagent,logged,1
2026-09-14,S0002,KreditBee,Q-wave claim source-hunt,0 resolved,,none,subagent,logged,1
2026-09-14,S0002,KreditBee,KrazyBee Services Private Limited CIN incorporation,"CIN U65100KA2016PTC086990, incorporated 16 Mar 2016; PLC variant U65100KA2016PLC086990 after conversion",,,subagent,logged,1
2026-09-14,S0002,KreditBee,FS-wave founder status,3 founders updated,,none,subagent,logged,78
2026-09-15,S0002,KreditBee,"KreditBee product lines, traction, people, financials, legal, events, identity P3-WAVE","Comprehensive data gathered: 10+ products, FY24-FY26 financials, 8+ people, legal/regulatory status, events 2021-2026, CINs verified",,Write gapfill/kreditbee.p3.json,P3-WAVE,done,39
2026-09-15,S0002,KreditBee,Pankaj Chaudhary Vishesh Singh KreditBee founders,"No evidence of Pankaj Chaudhary or Vishesh Singh as KreditBee founders. Verified founders are Madhusudan Ekambaram, Karthikeyan Krishnaswamy, Vivek Veda, Wan Hong",,Note as gap; founders claim not substantiated,P3-WAVE,done,39
2026-09-15,S0002,KreditBee,KreditBee DRHP IPO filing SEBI,No DRHP filed yet as of 2026-09-15. Board approved public entity conversion Jul 2025; NCLT merger pending; IPO expected end-2026/early-2027,,Note as gap,P3-WAVE,done,39
2026-09-15,S0002,KreditBee,KVKB Fintech Holdings KreditBee Fintech India Ltd CIN,"No entities named KVKB Fintech Holdings or KreditBee Fintech India Ltd found. Known entities: KrazyBee Services Limited (CIN U65100KA2016PLC086990), Finnovation Tech Solutions Pvt Ltd (CIN U74900KA201",,Note as gap; entity names not found,P3-WAVE,done,39
2026-09-15,S0002,KreditBee,KreditBee $258M 2025 raise,No $258M raise found in 2025. PitchBook shows a Secondary Transaction - Private on 2025-07-07 (amount undisclosed). Series E was $280M in Apr 2026. $258M figure may refer to total disclosed funding pr,,Note as gap; likely refers to Tracxn $256M pre-Series-E total,P3-WAVE,done,39
2026-09-14,S0003,PhonePe,PhonePe IPO 2026 confidential filing valuation $12 billion founders,"Confidential DRHP Sep 2025, UDRHP Jan 2026 OFS details, $12B 2023 valuation, $9-10.5B Mar-2026 target range",Final IPO valuation/price,Track RHP price band on listing,subagent,logged,1
