category,entity,value,population_size,comparison_basis,status,notes
tier_distribution,Basic,89,368,count of companies,measured,objective banded coverage per SPEC Amendment #2
tier_distribution,Enriched,79,368,count of companies,measured,objective banded coverage per SPEC Amendment #2
tier_distribution,Intelligence-grade,62,368,count of companies,measured,objective banded coverage per SPEC Amendment #2
tier_distribution,Candidate,56,368,count of companies,measured,objective banded coverage per SPEC Amendment #2
tier_distribution,Fully researched,49,368,count of companies,measured,objective banded coverage per SPEC Amendment #2
tier_distribution,Deep,33,368,count of companies,measured,objective banded coverage per SPEC Amendment #2
city_avg_completeness,Ahmedabad,34.3,9,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Bengaluru,58.9,153,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,"Bengaluru, Karnataka",94.5,3,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Chandigarh,34.3,2,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Chennai,39.1,9,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Chennai / Palo Alto,50.0,1,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Delhi,44.3,4,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Delhi NCR,37.7,10,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Erode / Perundurai,18.8,1,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Greater Noida,89.6,1,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Gurgaon,29.2,1,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Gurugram,48.2,40,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Hyderabad,37.3,12,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Indore,27.1,2,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Jaipur,12.5,6,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Kochi,31.2,2,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Kolkata,35.4,10,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Krishnagiri,16.7,1,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,"Manno, Switzerland",16.7,1,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Mumbai,62.3,63,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Mumbai MMR,22.9,1,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Navi Mumbai,62.5,1,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,New Delhi,37.5,3,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Noida,55.8,9,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Pleasanton,70.8,1,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Pune,53.1,8,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Rajkot,16.7,1,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,San Francisco,34.7,3,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,San Francisco / Pleasanton,66.7,1,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Surat,42.2,4,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Thane,67.7,2,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,UNKNOWN,18.8,1,SCORES.completeness_pct,measured,tracked universe only
city_avg_completeness,Unknown,8.3,2,SCORES.completeness_pct,measured,tracked universe only
conflicts_preserved,all,774,368,CONFLICTS rows retained (not merged),measured,unresolved: 0
