startup_id,company_name,score_identity,score_founders,score_funding,score_investors,score_financials,score_products,score_traction,score_people,score_customers,score_legal,score_events,completeness_pct,tier,source_quality_pct,freshness_pct,conflict_level,score_locations,priority_score,priority_rank,cohort
S0001,Juspay,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.8,Fully researched,100.0,100,high,10.0,28.2,174,
S0002,KreditBee,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,10.0,97.9,Fully researched,100.0,100,high,10.0,26.1,194,
S0003,PhonePe,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,2.5,10.0,91.7,Fully researched,100.0,100,high,10.0,32.3,115,
S0004,Razorpay,7.5,10.0,10.0,10.0,10.0,5.0,7.5,2.5,0.0,2.5,7.5,64.6,Deep,100.0,100,low,5.0,39.9,28,EXHAUST
S0005,Zepto,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,95.8,Fully researched,100.0,100,high,10.0,25.4,205,
S0006,Neysa,10.0,10.0,7.5,10.0,5.0,7.5,10.0,10.0,10.0,2.5,10.0,83.3,Intelligence-grade,100.0,100,moderate,7.5,32.7,110,
S0007,Amagi,10.0,10.0,7.5,10.0,10.0,5.0,5.0,0.0,5.0,2.5,7.5,64.6,Deep,100.0,100,low,5.0,20.4,252,
S0008,CRED,10.0,7.5,7.5,10.0,10.0,5.0,7.5,0.0,5.0,2.5,7.5,64.6,Deep,80.0,100,low,5.0,39.1,38,EXHAUST
S0009,Darwinbox,10.0,7.5,7.5,10.0,7.5,5.0,5.0,0.0,5.0,2.5,7.5,60.4,Deep,100.0,100,low,5.0,33.0,107,
S0010,Emergent,7.5,10.0,7.5,10.0,7.5,5.0,7.5,0.0,5.0,2.5,0.0,58.3,Enriched,100.0,100,low,7.5,36.3,63,TARGET
S0011,Groww,10.0,10.0,7.5,10.0,10.0,7.5,10.0,10.0,0.0,10.0,10.0,87.5,Intelligence-grade,100.0,100,high,10.0,36.5,60,TARGET
S0012,Gupshup,7.5,7.5,7.5,10.0,10.0,5.0,5.0,7.5,10.0,2.5,7.5,72.9,Deep,100.0,100,moderate,7.5,35.3,72,TARGET
S0013,Krutrim,10.0,10.0,7.5,7.5,10.0,7.5,10.0,10.0,7.5,10.0,10.0,91.7,Fully researched,100.0,100,high,10.0,32.3,116,
S0014,Sarvam AI,7.5,10.0,7.5,10.0,5.0,5.0,5.0,0.0,0.0,2.5,10.0,56.2,Enriched,100.0,100,low,5.0,29.0,165,
S0015,Slice,7.5,10.0,10.0,10.0,10.0,5.0,10.0,0.0,0.0,5.0,10.0,68.8,Deep,90.0,100,low,5.0,31.8,127,
S0016,upGrad,10.0,10.0,7.5,7.5,10.0,10.0,10.0,10.0,10.0,5.0,10.0,91.7,Fully researched,100.0,100,high,10.0,32.3,117,
S0017,BrowserStack,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,93.8,Fully researched,100.0,100,high,10.0,29.4,159,
S0018,Dhan,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,89.6,Intelligence-grade,100.0,100,high,10.0,32.6,111,
S0019,PharmEasy,10.0,10.0,5.0,7.5,10.0,5.0,10.0,10.0,10.0,10.0,10.0,89.6,Intelligence-grade,100.0,100,high,10.0,34.4,85,TARGET
S0020,Snapmint,7.5,7.5,7.5,10.0,10.0,2.5,10.0,7.5,0.0,2.5,7.5,66.7,Deep,100.0,100,none,7.5,28.5,171,
S0021,Upstox,10.0,10.0,7.5,5.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,89.6,Intelligence-grade,100.0,100,high,10.0,29.4,160,
S0022,Udaan,7.5,10.0,10.0,10.0,10.0,5.0,7.5,2.5,0.0,7.5,10.0,72.9,Deep,100.0,100,low,7.5,30.9,141,
S0023,ACKO,7.5,10.0,10.0,10.0,10.0,7.5,5.0,7.5,0.0,5.0,10.0,75.0,Intelligence-grade,100.0,100,low,7.5,31.0,140,
S0024,CoinSwitch Kuber,7.5,10.0,10.0,10.0,10.0,5.0,5.0,0.0,0.0,7.5,10.0,66.7,Deep,100.0,100,low,5.0,30.6,147,
S0025,Cult.fit (CureFit),7.5,10.0,10.0,10.0,10.0,5.0,7.5,7.5,0.0,5.0,10.0,75.0,Intelligence-grade,100.0,100,moderate,7.5,41.0,21,EXHAUST
