primary_sector,companies,n_note,avg_completeness_pct,median_completeness_pct,funded_companies,funding_median_inr_mn,funding_total_inr_mn,revenue_known_n,revenue_median_inr_crore,small_sample_flag,notes
AI,2,sample-size protection: descriptive only,34.4,34.4,1,65.2,130.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI / AI cloud infrastructure,1,sample-size protection: descriptive only,91.7,91.7,1,23896.0,23896.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI / LLMs / sovereign models,1,sample-size protection: descriptive only,56.2,56.2,1,30277.8,30277.8,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI / computer vision / fleet safety telematics,1,sample-size protection: descriptive only,72.9,72.9,1,27354.8,27354.8,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI / conversational SaaS,1,sample-size protection: descriptive only,72.9,72.9,1,30472.0,30472.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI / healthtech (pharmacovigilance),1,sample-size protection: descriptive only,70.8,70.8,1,1414.2,1414.2,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI / meeting transcription,1,sample-size protection: descriptive only,66.7,66.7,1,1043.0,1043.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI Drug Discovery / Biotech,1,sample-size protection: descriptive only,62.5,62.5,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI agents SaaS,1,sample-size protection: descriptive only,8.3,8.3,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI cloud infrastructure,1,sample-size protection: descriptive only,83.3,83.3,1,108585.0,108585.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI data infrastructure,1,sample-size protection: descriptive only,20.8,20.8,1,43.5,43.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI dev-tools / vibe-coding,1,sample-size protection: descriptive only,58.3,58.3,1,19957.0,19957.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI devtools,1,sample-size protection: descriptive only,27.1,27.1,1,557.0,557.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI enterprise software services,1,sample-size protection: descriptive only,37.5,37.5,1,2784.0,2784.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI fashion / e-commerce,1,sample-size protection: descriptive only,27.1,27.1,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI infra / semiconductor,1,sample-size protection: descriptive only,41.7,41.7,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
AI infrastructure / agentic tooling,1,sample-size protection: descriptive only,35.4,35.4,1,4350.0,4350.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
Aerospace / drone logistics,1,sample-size protection: descriptive only,43.8,43.8,1,3960.3,3960.3,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
