startup_id,company_name,legal_name,aliases,website,founded_date,incorporation_date,status,startup_stage,primary_sector,secondary_sectors,business_model,customer_type,city,state,country,hq_type,registered_office,employee_estimate,employee_estimate_date,total_funding_disclosed,last_funding_date,last_funding_round,last_known_valuation,revenue_latest_fy,revenue_latest_fy_year,revenue_latest_fy_period,profit_loss_latest_fy,profit_loss_latest_fy_period,dpiit_recognized,cin,parent_company,subsidiary_of,public_private,website_status,official_website,careers_website,last_verified,confidence,primary_source_id,notes,company_class
S0001,Juspay,Juspay Technologies Private Limited,,https://juspay.io,2012,2012-08-29,active private,unicorn (Series D),fintech payments infrastructure,,"payments orchestration / infrastructure SaaS, per-transaction commission",,Bengaluru,Karnataka,India,HQ,"Stallion Business Centre, No. 444, 3rd & 4th Floor, 18th Main, 6th Block, Koramangala, Bengaluru, Karnataka 560095",2115,,"13962.0 Mn INR (equity, DERIVED)",2026-01-23,Series D follow-on,,539.5,FY25,FY25 crore INR,62,FY25 crore INR,,U66190KA2012PTC098522,,,private,unchecked (not in linkcheck set),https://juspay.io,https://juspay.io/careers,2026-09-14,HIGH,SRC00010,"CONFLICT[unicorn timing]: Jan 2026 $50Mn WestBridge round at $1.2Bn is the documented unicorn event; some | CONFLICT[FY25 revenue growth %]: Inc42 cites operating revenue Rs 514.31 Cr +61% from Rs 319.32 Cr; ET cites net | CONFLICT[FY25 revenue]: Different revenue definitions (operating vs total); keep both with labels | CONFLICT[FY25 net profit]: Different reporting; Rs 62 Cr is the widely cited figure; $14M may include other | CONFLICT[unicorn timing]: Jan 2026 $50Mn WestBridge round at $1.2Bn is the documented unicorn event | GAPS: CIN U66190KA2012PTC098522 seen only in Tracxn snippet — not independently verified; Series C ($60Mn Dec 2021, SoftBank-led) widely known but not re-verified this batch — omitted; Headcount ~1350 (Tracxn snippet) unverified",Mature private company
S0002,KreditBee,KrazyBee Services Private Limited (NBFC arm); tech arm Finnovation Tech Solutions Private Limited; parent Finnov Private Limited,,https://kreditbee.in,,2016-03-16,"active, pre-IPO","unicorn (Series E, Apr 2026)",fintech lending,"['digital lending', 'NBFC']",Digital lending marketplace + own NBFC book; co-lending with 10+ partner lenders,,Bengaluru,Karnataka,India,HQ,"3rd Floor, No.128/9, Maruthi Sapphire, HAL Airport Road, Murugesh Palya, Bengaluru, Karnataka - 560017",1732,,"69069.3 Mn INR (equity, DERIVED)",2026-04-08,Series E,,3025.0,FY25,FY26 crore INR,473.0,FY25 crore INR,,U65100KA2016PTC086990,,,private,unchecked (not in linkcheck set),https://www.kreditbee.in,https://kreditbee.darwinbox.in/ms/candidatev2/main/careers/home,2026-09-14,HIGH,SRC00040,"CONFLICT[unicorn sequencing]: Both defensible on different windows: first of FY27 (Apr 2026) vs second of cale | CONFLICT[founded_date]: Primary sources say 2016 (NBFC incorporated Mar 2016, RBI licence May 2017); 201 | CONFLICT[legal_name]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[cin]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[Series E secondary amount]: Moneycontrol reports $80M secondaries; Entrackr/ETCFO report $60M. Kept both; $6 | CONFLICT[FY25 standalone vs consolidated PAT]: Both correct: standalone PAT Rs 237cr vs consolidated PAT Rs 473cr. Different en | CONFLICT[Founded 2016 vs 2018]: 2016 = entity incorporation; 2018 = KreditBee brand launch. Both valid depending | GAPS: Audited FY25 consolidated statements not yet verified; FY25 Rs 2,712cr/473cr figures are press-quoted pre-audit; CIN/DPIIT status not verified; Exact secondary sellers in Series E not disclosed; HQ street address not verified; Finnovation T",Mature private company
S0003,PhonePe,PhonePe Limited (redomiciled India 2022; ex-Flipkart hive-off 2020),,https://www.phonepe.com,,2015-12-01,"active, IPO-bound","late / pre-IPO (confidential DRHP Sep 2025, UDRHP Jan 2026)",fintech payments,"['UPI payments', 'lending distribution', 'insurance distribution', 'wealth/stocks', 'consumer tech (Pincode, Indus Appstore)']","UPI payments platform + financial services distribution (lending, insurance, wealth) + consumer tech (Indus Appstore, Pincode)",,Bengaluru,Karnataka,India,HQ,"Bengaluru, Karnataka",50000,,"74670.0 Mn INR (equity, DERIVED)",2026-01-22,secondary,,3918.0,FY25,H1-FY26 crore INR,-1727.0,FY25 crore INR,,U67190KA2012PLC176031,,,private,unchecked (not in linkcheck set),https://www.phonepe.com,https://www.phonepe.com/careers/,2026-09-14,HIGH,SRC00077,"CONFLICT[IPO size/valuation target]: Treat as evolving press estimates: Sep-2025 framing (~$1.35B, up to $15B val) vs | CONFLICT[FY25 revenue]: Minor definitional rounding (standalone vs consolidated incl. other income lines | CONFLICT[legal_name]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[startup_stage]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[CIN]: Group-entity conflict: PhonePe Limited (post-redomicile) vs Phonepe Private Limi | GAPS: CIN not verified; FY26 full-year pending; IPO price band/valuation unresolved (press ranges only); UPI market-share exact figure not pinned to a fetched page; cin — group-entity conflict (U67190KA2012PLC176031 vs U67190MH2012PTC337657); nee",Mature private company
S0004,Razorpay,Razorpay Software Private Limited (converted to public entity Apr 2025; reverse flip completed Mar 2025),,https://razorpay.com,,2013-05-24,"active, IPO-bound","unicorn / pre-IPO (confidential DRHP Jun 12, 2026)",fintech infra,"['payments gateway', 'business banking (RazorpayX)', 'payroll', 'POS (Ezetap)']",,,Bengaluru,Karnataka,India,,,,,"53707.5 Mn INR (equity, DERIVED)",2021-12-20,Series F,,3783.0,FY25,FY25 crore INR,,,,U72200KA2013PTC097389,,,Private,unchecked (not in linkcheck set),https://razorpay.com,https://razorpay.com/jobs/,2026-09-14,MEDIUM,,CONFLICT[total funding]: Use $741.5-742M tracker consensus; note higher press rounding to $800M includes | GAPS: Audited RoC FY25 loss figure undisclosed (company withheld exact loss); CIN not verified; Pre-IPO secondary details unconfirmed; RBI cross-border (PA-CB) licence status not verified from primary source; post-conversion PLC CIN confirmation,Mature private company
S0005,Zepto,"Zepto Private Limited (utations: KiranaKart Technologies per RoC filings — UNVERIFIED, needs MCA check)",,https://www.zepto.com,,2021-07-01,"active, IPO-deferred to Feb-May 2027 window","unicorn / pre-IPO (confidential DRHP Dec 27, 2025; SEBI observations May 2026; UDRHP Jun 2026)",quick commerce,"['grocery delivery', 'food delivery (Zepto Cafe)', 'advertising']",10-minute grocery delivery via dark stores; ad vertical; Zepto Cafe; private labels,,Mumbai,Maharashtra,India,HQ,"Mumbai, Maharashtra",5700,,"190233.5 Mn INR (equity, DERIVED)",2026-08-01,pre-IPO placement,,1635.7,FY25,FY26 crore INR,-3367.0,FY25 crore INR,,UNKNOWN,,,private (pre-IPO),unchecked (not in linkcheck set),https://www.zepto.com,,2026-09-14,HIGH,SRC00108,"CONFLICT[Oct 2025 round size]: ET/CNBC confirm $450M mix of primary+secondary (~$300M primary per RoC); TC's $4 | CONFLICT[HQ city]: Seed hint said Bengaluru but weight of evidence says Mumbai-founded/ HQ. ET 'Ban | CONFLICT[legal_name]: phase3 p3 payload disagrees with existing value; existing kept as preferred pend | CONFLICT[FY25 revenue]: ET reported Rs 9,669cr per RoC filing; Forbes reported Rs 11,110cr per DRHP rest | CONFLICT[FY25 net loss]: ET reported Rs 3,367cr per RoC; Forbes reported Rs 4,699.71cr per DRHP restated. | GAPS: Legal/registered name + CIN unverified (KiranaKart attribution needs MCA check); Full funding history pre-2024 (2021-2024 rounds) not enumerated in this pass; DRHP/UDRHP financials (restated) not fetched — confidential route; Zepto Cafe sca | City corrected from discovery seed (Bengaluru) to Mumbai per enrichment.",Mature private company
S0006,Neysa,Neysa Networks Private Limited,,https://neysa.ai,2023-01-01,2022-12-16,Active,Unicorn,AI cloud infrastructure,"['GPU cloud', 'GenAI platform', 'observability']","AI acceleration cloud platform + PaaS (GPU infra, GenAI platform Velocis, observability)","B2B, B2G",Mumbai,Maharashtra,India,HQ,,110,,"108585.0 Mn INR (equity, DERIVED) + 52200.0 Mn INR (debt)",2026-02-16,Growth equity,"$1.4B enterprise value (press-reported, company did not conf",3,FY27 (PROJECTED),FY27 (PROJECTED) x USD,,,,U72900MH2022PTC395489,,,Private,unchecked (not in linkcheck set),https://neysa.ai,https://neysa.ai/careers/,2026-09-14,HIGH,SRC00115,"CONFLICT[round_size]: Both true: up to $600M definitive equity agreements + intended $600M debt subjec | CONFLICT[founded_date]: Company sources say set up Jan 2023, founded 2023; 2022 likely conception year. | CONFLICT[founder_name]: No credible source mentions Rahul Gandotra as a Neysa founder. Sharad Sanghi and | GAPS: Audited revenue/profit (FY24/FY25) not found; only ambition to triple revenue (TechCrunch).; CIN / MCA filing figures not verified.; Exact debt close status (planned vs closed) unresolved.; Employee count beyond 110 (TechCrunch Feb 2026) no",Startup
S0007,Amagi,Amagi Media Labs Limited,,https://www.amagi.com,2008,2008-02-01,operating,public,media-tech SaaS,"['cloud broadcast', 'ad-tech', 'FAST/CTV']","B2B SaaS, usage-linked + subscription",B2B,Bengaluru,Karnataka,India,,,,,"7850.0 Mn INR (equity, DERIVED) | IPO issue 195.05 USDMn (excluded from private equity total)",2026-01-21,IPO,~$821M at listing (Jan 2026); $1.4B last private (Nov 2022),1506,FY26,FY26 crore INR,72,FY26 crore INR,,L73100KA2008PLC045144,,,"public (listed Jan 2026; NSE: AMAGI, BSE: 544679)",unchecked (not in linkcheck set),https://www.amagi.com,https://www.amagi.com/careers,2026-09-14,MEDIUM,,"CONFLICT[ipo_valuation]: Both consistent: band implied ~$869M at Rs 361; listing-day discount to ~$821M a | GAPS: CIN / incorporation date not verified; Full round-by-round history (Series A-E amounts) not verified; ESOP/acquisition details (Telium Nov 2023, Argoid.AI 2024) only partially verified",Public company
S0008,CRED,Dreamplug Technologies Private Limited (ESTIMATE — MCA name seen in filings coverage; verify via MCA),,https://cred.club,2018,2018-04-19,operating,late (unicorn),fintech,"['credit', 'payments', 'lending']","marketplace/fintech: credit-card bill payments, lending, payments, commerce",,Bengaluru,Karnataka,India,,,,,"29689.5 Mn INR (equity, DERIVED)",2022-06-09,Series F,$6.4B (Jun 2022),2735,FY25,FY25 crore INR,1457,FY25 crore INR,,U93090MH2018PTC308253,,,private,unchecked (not in linkcheck set),https://cred.club,https://careers.cred.club,2026-09-14,MEDIUM,,"CONFLICT[FY25_revenue]: Use company-statement Rs 2,735 cr operating revenue as primary; Inc42 page figur | GAPS: CIN not verified from MCA directly; Full early round history (Seed-Series D) not enumerated; FY26 figures not available; Meta $900M Jun-2026 claim unverified — needs T1/T3 confirmation; Seed-stage seed investors list incomplete; FY25/FY26 f",Scale-up
S0009,Darwinbox,Darwinbox Digital Solutions Private Limited,,https://darwinbox.com,2015,2015-11-20,operating,late (unicorn),HR-tech SaaS,['AI HCM'],B2B SaaS (HCM suite),,Hyderabad,Telangana,India,,,,,"21078.0 Mn INR (equity, DERIVED)",2025-08-14,growth,~$1B blended (2025 rounds); $1B+ primary claim; unicorn sinc,392,FY24,FY24 crore INR,,,,U74900TG2015PTC101793,,,private,unchecked (not in linkcheck set),https://darwinbox.com,https://darwinbox.com/careers,2026-09-14,MEDIUM,,CONFLICT[mar2025_valuation]: Both preserved: primary component at up-round >$1B per company; blended incl. di | GAPS: CIN / incorporation date not verified; FY25 audited revenue not verified (only ARR target + growth guidance); Seed/Series A-C amounts not enumerated; Profitability/loss figures not verified | City corrected from discovery seed (Bengaluru) to Hyderabad per enrichment.,Scale-up
S0010,Emergent,,,https://emergent.sh,2024,,operating,unicorn,AI dev-tools / vibe-coding,"['SMB SaaS', 'AI agents']",B2B2C SaaS / AI platform (vibe-coding → SMB operating system),,Bengaluru,Karnataka,India,,,,,"19957.0 Mn INR (equity, DERIVED)",2026-07-15,Series C,$1.5B post-money (Jul 2026),,,,,,,"3914600 (EMERGENT LABS INC., UK) / U62010KA2026PTC222737 (EMERGENE AI PRIVATE LIMITED, India)",,,private,unchecked (not in linkcheck set),https://emergent.sh,https://emergent.sh/careers,2026-09-14,MEDIUM,,"CONFLICT[seriesB_timing]: Treat as announced Jan 2026, closed Dec 2025 (standard lag). Use Jan 2026 announ | GAPS: Legal entity name / CIN / incorporation date not verified; Google AI Futures Fund Dec-2025 amount undisclosed; FY revenue (audited MCA) not available — ARR is management-claimed run-rate; Employee headcount not verified; Profitability not d | incorporation_date stated loosely: 12 June 2024 (EMERGENT LABS INC., UK entity) / 20 June 2026",Scale-up
