metric_id,startup_id,metric,value,unit,period,as_of,company_reported,source_id,confidence,notes
MET00001,S0001,payment volume,$1Tn annualised TPV; ~300Mn txns/day; 500+ enterprises,,annualised,2025-11,True,SRC00003,MEDIUM,
MET00002,S0001,daily_transactions,300,million,FY25,2025-11-12,True,SRC00009,HIGH,grew from 175M to 300M+ daily in FY25
MET00003,S0001,annualised_tpv,1000,billion,FY25,2025-11-12,True,SRC00009,HIGH,$1 trillion annualised TPV; surged from $400B
MET00004,S0001,enterprise_count,500,count,FY25,2025-11-12,True,SRC00019,HIGH,500+ enterprises
MET00005,S0001,daily_transactions_historical,125,million,FY24,2024-08,True,SRC00029,MEDIUM,125M daily transactions as of Aug 2024
MET00006,S0001,daily_transactions_historical,175,million,FY25 start,2024-04,True,SRC00009,HIGH,175M daily transactions at start of FY25
MET00007,S0002,app downloads,230M+,,cumulative,Mar 2026,True,SRC00031,HIGH,
MET00008,S0002,AUM,"$1.5B / Rs 15,000cr",,point-in-time,Mar 2026,True,SRC00031,HIGH,
MET00009,S0002,unique loan customers,18M+,,cumulative,Mar 2026,True,SRC00031,MEDIUM,
MET00010,S0002,AUM,13141.0,crore,As-of-2025-12-31,2025-12-31,True,SRC00038,HIGH,"CARE Ratings: AUM Rs 13,141 crore as on Dec 31, 2025"
MET00011,S0002,AUM,10102.0,crore,FY25 (As-of-2025-03-31),2025-03-31,True,SRC00039,HIGH,"AUM grew ~32% in FY25 from Rs 7,644 crore FY24; CAGR 73% since FY22"
MET00012,S0002,AUM,15000.0,crore,FY26 (As-of-2026-03-31),2026-03-31,True,SRC00031,MEDIUM,Company-reported at Series E announcement; ~$1.5B
MET00013,S0002,total_disbursals,30000.0,crore,FY26 (Apr-2025..Mar-2026),2026-03-31,True,SRC00032,HIGH,"Kreditbee closed 2025-26 with total disbursals of Rs 30,000 crore"
MET00014,S0002,total_disbursals,24647.0,crore,FY25,2025-03-31,True,SRC00039,HIGH,Disbursements grew ~19% in FY25; CAGR ~62% since FY22
MET00015,S0002,unique_loan_customers,18000000,count,cumulative,2026-03-31,True,SRC00031,HIGH,18M+ unique loan customers; over 60M loans facilitated
MET00016,S0002,app_downloads,230000000,count,cumulative,2026-03-31,True,SRC00031,HIGH,230M+ app downloads
MET00017,S0002,registered_customers,80000000,count,cumulative,2026-04-08,True,SRC00065,MEDIUM,80M+ registered customers; 180M+ individuals served
MET00018,S0002,co_lending_book_share,42.0,percent,FY25 (As-of-2025-03-31),2025-03-31,True,SRC00039,HIGH,"Co-lending book constituted ~42% of overall AUM as on Mar 31, 2025"
MET00019,S0002,non_metro_customer_share,77.0,percent,point-in-time,2026-04-08,True,SRC00066,MEDIUM,Over 77% of customer base resides in non-metro cities
MET00020,S0002,repeat_borrower_share,80.0,percent,point-in-time,2025-07-14,True,SRC00039,HIGH,Over 80% of disbursements to repeat borrowers
MET00021,S0002,cibil_above_700_share,90.0,percent,Since-Apr-2022,2025-07-14,True,SRC00039,HIGH,Over 90% of disbursements since Apr 2022 towards borrowers with CIBIL > 700
MET00022,S0003,UPI market share,~half of UPI payments,,Jan 2026,2026-03-01,False,SRC00070,MEDIUM,
MET00023,S0003,lifetime registered users,718,million,As-of-July-2026,2026-07-01,True,SRC00078,HIGH,From PhonePe official press/media kit page
MET00024,S0003,lifetime registered merchants,50,million,As-of-July-2026,2026-07-01,True,SRC00078,HIGH,From PhonePe official press/media kit page
MET00025,S0003,customer transactions in month,11,billion,July 2026,2026-07-01,True,SRC00078,HIGH,From PhonePe official press/media kit page
MET00026,S0003,daily transactions,400,million,As-of-August-2026,2026-08-01,True,SRC00078,HIGH,From India Today Impact Feature headline on PhonePe press page
MET00027,S0003,UPI market share,50,percent,Jan 2026,2026-01-01,False,SRC00070,MEDIUM,Reuters reports PhonePe has ~half of UPI payments; Navi article confirms PhonePe #1 in UPI TPAP ranking
MET00028,S0003,daily SIP base,500000,count,As-of-August-2026,2026-08-03,True,SRC00087,MEDIUM,"PhonePe Daily SIP base crosses 500,000 per Business Standard Aug 3, 2026"
MET00029,S0004,merchants served,8M+,,point-in-time,2025-01-01,True,SRC00100,MEDIUM,
MET00030,S0004,quarterly TPV,~$45B / ~1B txns,,quarterly,2025-01-01,True,SRC00100,MEDIUM,
MET00031,S0005,daily orders,1.6-1.7M/day (from 0.5M 5 quarters prior),,point-in-time,2025-10-16,True,SRC00104,HIGH,
MET00032,S0005,dark stores,"~1,000",,point-in-time,2025-10-16,True,SRC00104,HIGH,
MET00033,S0005,ad vertical ARR,"Rs 2,000cr",,annualised,2025-10-16,True,SRC00110,MEDIUM,
MET00034,S0005,daily_orders,2330000,orders/day,As-of-2026-03,2026-03-31,True,SRC00108,HIGH,2.33 million daily orders per Forbes India
MET00035,S0005,annual_transacting_users,48000000,users,FY26,2026-03-31,True,SRC00108,HIGH,Nearly 48 million annual transacting users
MET00036,S0005,dark_stores,1139,stores,FY26,2026-03-31,True,SRC00108,HIGH,"1,139 dark stores across 66 cities"
MET00037,S0005,dark_stores_added_net,110,stores,FY26,2026-03-31,True,SRC00108,HIGH,Net 110 stores added in FY26 vs 692 in FY25
MET00038,S0005,daily_orders,1600000,orders/day,point-in-time,2025-10-16,True,SRC00104,HIGH,1.6-1.7M orders/day; grew from 0.5M five quarters prior
MET00039,S0005,dark_stores,1000,stores,point-in-time,2025-10-16,True,SRC00104,HIGH,"~1,000 dark stores"
MET00040,S0005,cities,80,cities,point-in-time,2025-10-16,True,SRC00110,MEDIUM,Over 80 cities per J.P. Morgan note cited by TechCrunch
MET00041,S0005,cities,66,cities,FY26,2026-03-31,True,SRC00108,HIGH,66 cities per UDRHP
MET00042,S0005,ad_vertical_arr,2000.0,crore,annualised,2025-10-16,True,SRC00110,MEDIUM,"Rs 2,000 crore annualised run rate"
MET00043,S0005,order_volume_cagr,119.5,percent,FY24-FY26,2026-08-03,True,SRC00108,HIGH,119.5% CAGR over two-year stretch
MET00044,S0005,market_share_orders,35.0,percent,FY26,2026-08-03,True,SRC00108,HIGH,Share of orders among scaled quick-commerce players rose from 26% to 35%
MET00045,S0005,mature_store_ebitda_margin,6.5,percent,point-in-time,2025-09-01,True,SRC00108,MEDIUM,6-7% EBITDA margins at mature dark stores per CEO
MET00046,S0006,GPUs live,"~1,200 live; target 20,000+",,2026-02,2026-02,True,SRC00115,MEDIUM,
MET00047,S0006,GPUs live,1200,GPUs,As-of-2026-02,2026-02-15,True,SRC00115,MEDIUM,"~1,200 live GPUs at time of Blackstone announcement"
MET00048,S0006,GPU deployment target,20000,GPUs,FY27 target,2026-02-16,True,SRC00114,HIGH,"Target to scale to 20,000+ GPUs across India"
MET00049,S0006,Hyderabad data center cluster,400,MW,Announced Apr 2025,2025-04-18,True,SRC00124,HIGH,"NTT Data + Neysa + Telangana govt MoU for 400MW AI data center cluster worth Rs 10,500 crore"
MET00050,S0006,Revenue growth expectation,3,x,FY27,2026-02-17,True,SRC00132,MEDIUM,Revenue expected to more than triple; GPUs scaling from 1200 to 20000
MET00051,S0007,net_revenue_retention,125.9%,,2026-03-31,2026-03-31,,SRC00139,,
MET00052,S0008,total_payment_value,Rs 8.5 lakh cr (+23% YoY),,FY25,FY25,,SRC00147,,
MET00053,S0008,lending_AUM,"Rs 22,000 cr",,FY25,FY25,,SRC00147,,
MET00054,S0009,enterprise_customers,"1000+ enterprises, 4M+ employees, 130 countries",,2025-08-01,2025-08-01,,SRC00157,,
MET00055,S0010,apps_built,12M+,,2026-07-01,2026-07-01,True,SRC00168,,
MET00056,S0010,ARR_run_rate,$100M (8 months post-launch),,2026-02-01,2026-02-01,True,SRC00173,,
MET00057,S0011,active clients,12.9M (from 9.5M Mar 2024); 26%+ market share; 34 lakh new accounts in FY25,,Mar 2025,Mar 2025,True,SRC00176,MEDIUM,
MET00058,S0011,total_transacting_users,23.2,million,As of Sep 2026,2026-09-16,True,SRC00191,HIGH,
MET00059,S0011,total_transacting_users,21.6,million,FY25-26 (as of Mar 2026),2026-03-31,True,SRC00196,HIGH,
MET00060,S0011,active_users,16.7,million,FY25-26 (as of Mar 2026),2026-03-31,True,SRC00196,HIGH,
MET00061,S0011,active_users,18,million,As of Jun 2025,2025-06-30,True,SRC00215,HIGH,
MET00062,S0011,total_customer_assets,3.67,trillion,As of Sep 2026,2026-09-16,True,SRC00191,HIGH,
MET00063,S0011,total_customer_assets,2.96,trillion,FY25-26 (as of Mar 2026),2026-03-31,True,SRC00196,HIGH,
MET00064,S0011,mf_assets_on_platform,157000,crore,FY25-26 (as of Mar 2026),2026-03-31,True,SRC00196,HIGH,
MET00065,S0011,mf_assets_on_platform,191329.94,crore,Q1 FY27 (as of Jun 2026),2026-06-30,True,SRC00201,HIGH,
MET00066,S0011,groww_amc_aum,5491,crore,Q1 FY27 (as of Jun 2026),2026-06-30,True,SRC00201,HIGH,
MET00067,S0011,groww_amc_aum,5996.87,crore,As of latest quarter,2026-06-30,True,SRC00207,HIGH,
MET00068,S0011,sip_inflows,121.11,billion,As of Sep 2026,2026-09-16,True,SRC00191,HIGH,
MET00069,S0011,sip_inflows,46624,crore,FY25-26,2026-03-31,True,SRC00196,HIGH,
MET00070,S0011,mtf_net_book,42.07,billion,As of Sep 2026,2026-09-16,True,SRC00191,HIGH,
MET00071,S0011,registered_users,18,million,As of Nov 2025,2025-11-03,True,SRC00215,HIGH,
MET00072,S0011,nse_active_clients,11.9,million,Q2 FY26 (Sep 2025),2025-09-30,True,SRC00195,HIGH,
MET00073,S0011,first_time_investors,15.8,million,FY25-26,2026-03-31,True,SRC00196,HIGH,
MET00074,S0011,student_demat_accounts,8.4,million,Since inception,2026-03-31,True,SRC00196,HIGH,
MET00075,S0012,messages processed,"120B+ messages/year; thousands of enterprises; 50,000+ customers (company site)",,annual,2025,True,SRC00217,MEDIUM,
MET00076,S0013,enterprise customers,"25+ large enterprises across telecom, FS, consumer internet, healthcare, logistics",,May 2026,2026-05,True,SRC00241,MEDIUM,
MET00077,S0013,enterprise customers,25,count,As-of-2026-05,2026-05-04,True,SRC00241,MEDIUM,"25+ large enterprises across telecom, FS, consumer internet, healthcare, logistics"
MET00078,S0013,Kruti app downloads,207000,count,As-of-2025-09,2025-09-02,False,SRC00250,MEDIUM,SensorTower data; app pulled from stores April 2026
MET00079,S0013,revenue from Ola Group,90.0,percent,FY25,2026-05-05,False,SRC00251,MEDIUM,~90% of FY25 revenue from group companies; external demand remains question
MET00080,S0013,GPU compute capacity committed,0,percent,As-of-2026-05,2026-05-04,True,SRC00241,MEDIUM,Majority of GPU capacity committed to external enterprise workloads
MET00081,S0014,enterprise deployment,"Large fintech using agentic AI for 350,000+ sales force (unnamed); banking/insurance/gov/defense deployments",,2026,2026-06,True,SRC00263,MEDIUM,
MET00082,S0015,loan book,"Rs 5,098cr (+55% YoY)",,Q1 FY27,2026-06,True,SRC00285,MEDIUM,
MET00083,S0015,deposits,"Rs 5,765cr",,Q1 FY27,2026-06,True,SRC00285,MEDIUM,
MET00084,S0015,registered users,20M+,,2026,2026,True,SRC00277,MEDIUM,
MET00085,S0016,Gross revenue (company-claimed),"INR 1,943 cr gross; INR 556 cr deferred",,FY25,FY25,True,SRC00317,MEDIUM,
MET00086,S0016,learners,10000000,learners,As-of-2026-05,2026-05-07,True,SRC00305,MEDIUM,Company-claimed 10M+ learners worldwide
MET00087,S0016,enterprise_clients,3000,corporate partners,As-of-2026-04,2026-04-06,True,SRC00307,MEDIUM,"upGrad Enterprise works with 3,000+ corporate partners"
MET00088,S0016,employees,11544,employees,As-of-2026-03,2026-03,False,SRC00309,MEDIUM,Revelio Labs workforce intelligence
MET00089,S0016,academic_industry_partners,100,partners,As-of-2026-09,2026-09-15,True,SRC00304,MEDIUM,100+ Academic & Industry Partners per homepage
MET00090,S0016,countries,85,countries,As-of-2026-09,2026-09-15,True,SRC00330,MEDIUM,Learners from 85+ countries
MET00091,S0017,Revenue guidance CY2026,Cross $300M,,2026-01,2026-01,True,SRC00334,MEDIUM,
MET00092,S0017,Tests/customers,"3M tests/day; 50,000+ teams",,2026-01,2026-01,True,SRC00348,MEDIUM,
MET00093,S0017,customers,50000,teams,As-of-2026-01,2026-01-12,True,SRC00331,HIGH,"50,000+ customers across 135+ countries"
MET00094,S0017,developer signups,7000000,developers,As-of-2026-01,2026-01-12,True,SRC00351,HIGH,7M+ developer signups
MET00095,S0017,tests per day,3000000,tests/day,As-of-2026-01,2026-01-12,True,SRC00331,HIGH,3M+ tests daily
MET00096,S0017,tests per year,1000000000,tests/year,As-of-2026-01,2026-01-12,True,SRC00351,HIGH,1B tests per year
MET00097,S0017,data centers,21,data centers,As-of-2026-01,2026-01-12,True,SRC00351,HIGH,21 global data centers
MET00098,S0017,real devices,3500,devices,As-of-2026-01,2026-01-12,True,SRC00351,HIGH,3500+ real devices and browsers
MET00099,S0017,ARR milestone,100,million USD,FY2022,2022-12-31,True,SRC00345,HIGH,Named Centaur (SaaS business hitting $100M ARR) in 2022
MET00100,S0017,revenue growth,19.3,percent,CY2025 y/y,2025-12-31,False,SRC00342,MEDIUM,Sacra estimate 19.3% YoY
MET00101,S0018,clients,crossed 1 mn,,FY26,2026,True,SRC00367,MEDIUM,
MET00102,S0018,active_traders,984242,count,As-of-2025-12,2025-12-31,False,SRC00353,HIGH,
MET00103,S0018,clients,1000000,count,As-of-2026-02,2026-02-01,True,SRC00355,HIGH,
MET00104,S0018,market_share,2.3,percent,As-of-2026-03,2026-03-31,False,SRC00355,HIGH,
MET00105,S0018,app_downloads,10000000,count,As-of-2026-09,2026-09-15,True,SRC00360,HIGH,
MET00106,S0018,derivatives_trading_volume,1187000,crore,FY26,2026-03-31,False,SRC00355,HIGH,
MET00107,S0018,commodity_trading_volume,343000,crore,FY26,2026-03-31,False,SRC00355,HIGH,
MET00108,S0018,mtf_book,505,crore,FY26,2026-03-31,False,SRC00355,HIGH,
MET00109,S0018,active_users_seed,300000,count,As-of-2023-12,2023-12-05,True,SRC00366,HIGH,
MET00110,S0019,registered_users,25000000,count,"FY21 (as of Jun 30, 2021)",2021-06-30,True,SRC00389,MEDIUM,Company website 'About Us' page; may be outdated
MET00111,S0019,pharmeasy_orders,8800000,count,FY21,2021-03-31,True,SRC00389,MEDIUM,Company website 'About Us' page
MET00112,S0019,total_registrations,39000000,count,FY23 (as of Mar 2023),2023-03-31,True,SRC00390,MEDIUM,From API Holdings corporate presentation Dec 2023
MET00113,S0019,pharmeasy_revenue_fy26,1334,crore,FY26,2026-03-31,False,SRC00386,MEDIUM,PharmEasy consumer segment revenue; ~19% of group revenue
MET00114,S0019,monthly_break_even,1,boolean,Mar 2025,2025-03-31,True,SRC00392,MEDIUM,PharmEasy broke even in March 2025 per CEO Rahul Guha interview
MET00115,S0019,transacting_customers,2400000,count,FY21,2021-03-31,True,SRC00389,MEDIUM,Company website 'About Us' page
MET00116,S0019,pin_codes_serviced,19000,count,FY23 (as of Mar 2023),2023-03-31,True,SRC00390,MEDIUM,From API Holdings corporate presentation
MET00117,S0019,repeat_user_gmv_share,77,percent,FY23,2023-03-31,True,SRC00390,MEDIUM,"64% FY21, 71% FY22, 77% FY23"
MET00118,S0019,average_order_value,2421,INR,FY23 (Mar 2023),2023-03-31,True,SRC00390,MEDIUM,"AOV trend: 1,489 (Mar'21), 1,822 (Mar'22), 2,421 (Mar'23)"
MET00119,S0019,gmv_per_customer,5868,INR,FY23 (Mar 2023),2023-03-31,True,SRC00390,MEDIUM,"GMV per customer trend: 3,789 (FY21), 4,897 (FY22), 5,868 (FY23)"
MET00120,S0019,active_pharmacies_retailio,30000,count,FY23 (Mar 2023),2023-03-31,True,SRC00390,MEDIUM,B2B Retailio platform
MET00121,S0020,monthly_active_users,7M+,,Oct 2025,2025-10-31,True,SRC00408,MEDIUM,
MET00122,S0020,purchases_financed_per_month,1.5M+,,Oct 2025,2025-10-31,True,SRC00407,MEDIUM,
MET00123,S0020,pincode_coverage,"23,000",,Oct 2025,2025-10-31,True,SRC00407,MEDIUM,
MET00124,S0021,customers,7M+,,Nov 2021,2021-11,True,SRC00441,MEDIUM,
MET00125,S0021,nse_active_client_market_share,4.35,percent,FY26 (March 2026),2026-03-31,False,SRC00436,HIGH,Down from 5.58% in FY25; sharpest drop among major brokers
MET00126,S0021,active_clients_estimate,2400000,clients,2026,2026-02-03,False,SRC00438,MEDIUM,~2.4 million active clients per Inventiva
MET00127,S0021,arpu_growth,40,percent,FY26,2026-02-09,True,SRC00431,HIGH,ARPU up over 40% per CEO Ravi Kumar
MET00128,S0021,high_value_trader_retention,90,percent,FY26,2026-02-09,True,SRC00431,MEDIUM,Industry-leading retention among high-value traders per CEO
MET00129,S0021,nse_active_clients_total,4.57,crore,FY26 (March 2026),2026-03-31,False,SRC00436,HIGH,Total NSE active retail clients; fell from 4.92 crore in March 2025
MET00130,S0021,commodities_daily_turnover_growth,2,x,FY26,2026-02-09,True,SRC00431,MEDIUM,Average daily turnover in commodities up over 2x
MET00131,S0021,commodities_revenue_growth,100,percent,FY26,2026-02-09,True,SRC00431,MEDIUM,Commodities revenue grew almost 100%
MET00132,S0021,sip_platform_volume_growth,35,percent,FY26,2026-02-09,True,SRC00431,MEDIUM,SIP platform volume grew over 35% in past year
MET00133,S0021,margin_trade_facility_turnover_growth,2,x,FY26,2026-02-09,True,SRC00431,MEDIUM,Margin trade facility turnover up over 2x YoY
MET00134,S0022,eB2B market share claim,~70%,,2025,2025,True,SRC00452,MEDIUM,
MET00135,S0022,orders shipped CY23,23M+ orders / 2.25B products,,CY23,2023,True,SRC00454,MEDIUM,
MET00136,S0023,customers served (company claim via Caproasia),75M+ customers; ~900M policies (company-claimed),,cumulative,2026,True,SRC00470,LOW,
MET00137,S0024,registered users,2 crore+,,2024,2024-03,True,SRC00488,MEDIUM,
MET00138,S0025,fitness centres,"708 centres, 77 cities",,FY26,2026-03-31,True,SRC00490,HIGH,
MET00139,S0025,paid fitness members FY26,~9.9 lakh,,FY26,2026-03-31,True,SRC00490,HIGH,
MET00140,S0026,users/orgs,20M+ users; 500k+ orgs; 2B meeting minutes; 75% Fortune 500,,2025-06,2025-06,True,SRC00514,MEDIUM,
