city,tracked_companies,funding_inr_mn,funding_per_company,avg_completeness,median_completeness,sectors_top3,maturity_fully,maturity_ig,maturity_deep,maturity_enriched,maturity_basic,maturity_candidate,exit_acquisition_count,hiring_opening_latest,notes
Ahmedabad,9,27127.0,3014.13,34.3,29.2,Enriched Candidate Basic,0,1,0,3,2,3,1,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Bengaluru,153,5372054.0,35111.46,58.9,58.3,Intelligence-grade Enriched Fully researched,25,35,16,34,25,18,9,977,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
"Bengaluru, Karnataka",3,280798.0,93599.2,94.5,93.8,Fully researched,3,0,0,0,0,0,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Chandigarh,2,0.0,0.0,34.3,34.3,Basic,0,0,0,0,2,0,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Chennai,9,136295.0,15143.92,39.1,33.3,Candidate Enriched Basic,1,0,1,2,2,3,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Chennai / Palo Alto,1,0.0,0.0,50.0,50.0,Enriched,0,0,0,1,0,0,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Delhi,4,26512.0,6627.89,44.3,38.5,Intelligence-grade Enriched Candidate,0,1,0,1,1,1,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Delhi NCR,10,271297.0,27129.72,37.7,33.4,Basic Enriched Candidate,1,0,0,2,6,1,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Erode / Perundurai,1,14181.0,14181.0,18.8,18.8,Candidate,0,0,0,0,0,1,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Greater Noida,1,1904.0,1904.0,89.6,89.6,Intelligence-grade,0,1,0,0,0,0,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Gurgaon,1,0.0,0.0,29.2,29.2,Basic,0,0,0,0,1,0,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Gurugram,40,1028124.0,25703.09,48.2,45.8,Enriched Candidate Fully researched,5,2,3,18,5,7,3,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Hyderabad,12,101009.0,8417.43,37.3,29.2,Basic Deep Fully researched,1,0,2,0,8,1,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Indore,2,0.0,0.0,27.1,27.1,Basic Candidate,0,0,0,0,1,1,4,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Jaipur,6,1738.0,289.65,12.5,6.2,Candidate Basic,0,0,0,0,1,5,1,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Kochi,2,0.0,0.0,31.2,31.2,Basic,0,0,0,0,2,0,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Kolkata,10,131044.0,13104.41,35.4,27.1,Basic Candidate Fully researched,1,1,0,0,5,3,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Krishnagiri,1,0.0,0.0,16.7,16.7,Candidate,0,0,0,0,0,1,1,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
"Manno, Switzerland",1,0.0,0.0,16.7,16.7,Candidate,0,0,0,0,0,1,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Mumbai,63,1140607.0,18104.88,62.3,64.6,Intelligence-grade Basic Enriched,10,17,5,12,16,3,23,4600,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Mumbai MMR,1,418.0,418.5,22.9,22.9,Basic,0,0,0,0,1,0,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Navi Mumbai,1,21425.0,21425.0,62.5,62.5,Deep,0,0,1,0,0,0,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
New Delhi,3,51235.0,17078.33,37.5,22.9,Deep Candidate Basic,0,0,1,0,1,1,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Noida,9,929629.0,103292.13,55.8,56.2,Enriched Intelligence-grade Candidate,0,3,1,3,0,2,5,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Pleasanton,1,1414.0,1414.2,70.8,70.8,Deep,0,0,1,0,0,0,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Pune,8,108847.0,13605.84,53.1,43.8,Basic Enriched Intelligence-grade,1,1,0,2,4,0,1,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Rajkot,1,0.0,0.0,16.7,16.7,Candidate,0,0,0,0,0,1,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
San Francisco,3,5971.0,1990.43,34.7,35.4,Basic,0,0,0,0,3,0,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
San Francisco / Pleasanton,1,1043.0,1043.0,66.7,66.7,Deep,0,0,1,0,0,0,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Surat,4,14487.0,3621.78,42.2,40.6,Basic Enriched Deep,0,0,1,1,2,0,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Thane,2,101014.0,50506.82,67.7,67.7,Fully researched Basic,1,0,0,0,1,0,4,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
UNKNOWN,1,300.0,300.0,18.8,18.8,Candidate,0,0,0,0,0,1,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
Unknown,2,0.0,0.0,8.3,8.3,Candidate,0,0,0,0,0,2,0,,CITY_ANALYSIS derived; tracked universe only; not ecosystem census.
