primary_sector,company_count,funding_inr_mn,median_funding,median_company_age_yr,revenue_available,profitability_available,investor_concentration_top10_pct,city_concentration_top3_pct,hiring_momentum,product_activity,regulatory_exposure,notes
AI,2,130.0,65.25,65.25,0,0,0,200.0,50.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI / AI cloud infrastructure,1,25883.0,25883.2,25883.2,3,1,1,800.0,100.0,1,9,4,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI / LLMs / sovereign models,1,30278.0,30277.8,30277.8,3,0,0,1100.0,100.0,0,2,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI / computer vision / fleet safety telematics,1,27355.0,27354.82,27354.82,11,0,0,1000.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI / conversational SaaS,1,30472.0,30472.0,30472.0,22,0,0,1100.0,100.0,1,2,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI / healthtech (pharmacovigilance),1,1414.0,1414.2,1414.1999999999998,2,1,0,200.0,100.0,0,4,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI / meeting transcription,1,1043.0,1043.0,1043.0,0.0,1,0,300.0,100.0,1,1,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI Drug Discovery / Biotech,1,0.0,0.0,0,6,0,0,1100.0,100.0,0,2,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI agents SaaS,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI cloud infrastructure,1,108585.0,108585.0,108585.0,3,1,0,1000.0,100.0,1,3,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI data infrastructure,1,44.0,43.5,43.5,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI dev-tools / vibe-coding,1,19957.0,19957.0,19957.0,2,0,0,1000.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI devtools,1,557.0,557.05,557.05,3,0,0,200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI enterprise software services,1,2784.0,2784.0,2784.0,0,0,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI fashion / e-commerce,1,0.0,0.0,0,3,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI infra / semiconductor,1,0.0,0.0,0,3,0,0,100.0,100.0,1,2,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
AI infrastructure / agentic tooling,1,4350.0,4350.0,4350.0,0.0,0,0,600.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Aerospace / drone logistics,1,3960.0,3960.31,3960.31,3,0,0,500.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
B2B construction materials,1,100909.0,100909.25,100909.25,10,1,1,1800.0,100.0,0,8,5,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
B2B e-commerce / industrial supply chain,1,34779.0,34779.11,34779.11,11,1,1,1500.0,100.0,2,2,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
B2B ecommerce (food & grocery),1,28857.0,28856.79,28856.79,11,1,1,6900.0,100.0,0,6,2,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
B2B supply-chain commerce / fintech,1,236959.0,236958.7,236958.7,11,0,1,3000.0,100.0,0,10,6,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Beauty-Tech SaaS,1,56246.0,56245.5,56245.5,16,1,0,1000.0,100.0,0,11,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Conversational AI / Enterprise AI,1,0.0,0.0,0,18,1,0,1400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
D2C / healthy snacks,1,0.0,0.0,0,0.0,0,0,0.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
D2C Beauty / Skincare,1,5651.0,5651.23,5651.2300000000005,5,1,0,600.0,100.0,0,16,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
D2C Streetwear / Fashion,1,3000.0,3000.0,3000.0,6,0,0,900.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
D2C beauty / beauty-tech retail,1,53520.0,53520.0,53520.0,14,1,1,600.0,100.0,1,3,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
D2C beauty / science-led skincare,1,435.0,435.0,435.0,0.0,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
D2C fashion,1,12419.0,12419.08,12419.08,8,0,0,400.0,100.0,0,4,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
D2C footwear,1,1241.0,1241.05,1241.05,3,1,1,900.0,100.0,0,8,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
D2C jewellery,1,21610.0,21610.0,21610.0,7,1,0,1900.0,100.0,0,6,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
D2C luxury fashion / fashion-tech,1,11675.0,11675.4,11675.4,11,1,1,1300.0,100.0,0,6,2,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
D2C pet food / consumer goods,1,4968.0,4968.0,4968.0,17,1,1,200.0,100.0,0,3,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
EV battery swapping / Battery-as-a-Service,1,3045.0,3045.0,3045.0,4,0,1,100.0,100.0,0,6,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
EV battery technology,1,0.0,0.0,0,6,0,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
EV fleet / logistics tech,1,3326.0,3325.5,3325.5,9,0,0,1200.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
EV motorcycles,1,2175.0,2175.0,2175.0,0.0,0,0,500.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
EV tractors / agri-tech,1,703.0,702.74,702.74,0.0,0,0,600.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
EV two-wheeler,1,15030.0,15030.0,15030.0,5,0,0,500.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
EdTech,1,25427.0,25427.0,25427.0,6,0,0,700.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
EdTech / Healthcare Education SaaS,1,3915.0,3915.0,3915.0,15,1,0,100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
EdTech / Workforce Skilling,1,0.0,0.0,0,3,1,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Edtech / AI,1,0.0,0.0,0,2,0,0,300.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Edtech / skilling,1,36726.0,36726.5,36726.5,11,1,1,200.0,100.0,0,8,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
F&B / coffee chain (QSR),1,5810.0,5809.5,5809.5,10,1,0,400.0,100.0,0,9,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Fintech / Banking Infrastructure,1,0.0,0.0,0,4,0,0,600.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Food Delivery / Quick Commerce,1,0.0,0.0,0,12,1,0,500.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
FoodTech / QSR,1,5320.0,5320.0,5320.0,9,1,0,300.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
FoodTech / Quick Commerce,1,0.0,0.0,0,18,0,0,1000.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Foodtech / 10-min food delivery,1,8501.0,8501.2,8501.2,2,1,0,700.0,100.0,0,2,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
HR-tech SaaS,1,21078.0,21078.0,21078.0,11,1,0,900.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
High Tech / Edge Computing,1,10.0,10.02,10.02,5,0,0,200.0,100.0,0,4,1,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Home Services / Hyperlocal,1,0.0,0.0,0,12,0,0,1100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Home interiors marketplace,1,56138.0,56137.91,56137.91,12,1,0,2400.0,100.0,0,7,2,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Horizontal ecommerce / social commerce,1,150664.0,150664.0,150664.0,11,1,1,1900.0,100.0,0,7,4,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Insurtech / Fintech,1,0.0,0.0,0,18,0,1,1100.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Logistics,1,34533.0,34533.4,34533.4,11,0,0,1900.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Logistics SaaS / AI supply chain optimization,1,0.0,0.0,0,10,1,0,400.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Mobility / EV,1,27366.0,27365.64,27365.64,0.0,1,0,1300.0,100.0,0,6,6,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Mobility / road transport tech,1,47606.0,47605.5,47605.5,16,0,0,700.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Mobility / road transport tech (bike taxi-led multimodal),1,101277.0,101276.8,101276.8,11,0,0,3100.0,100.0,0,8,10,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Renewable Energy / IPP,2,0.0,0.0,0.0,6.0,0,0,650.0,50.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Robotics / AMR,1,0.0,0.0,0,7,0,0,200.0,100.0,0,3,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Robotics / DeepTech,1,0.0,0.0,0,3,0,0,500.0,100.0,0,0,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
Robotics / industrial automation (AMR),1,3188.0,3187.84,3187.84,9,1,0,600.0,100.0,0,1,0,SECTOR_ANALYSIS derived; tracked universe only; include N; no arbitrary conclusions.
