startup_id,metric,period,value,unit,currency,source_id,value_type,confidence
S0001,revenue_operations,FY24,319.32,crore,INR,SRC00018,press-quoted-filing,HIGH
S0001,revenue_operations,FY25,514.31,crore,INR,SRC00018,press-quoted-filing,HIGH
S0001,pat,FY25,62.0,crore,INR,SRC00003,press-quoted-filing,HIGH
S0001,revenue_operations,FY24,319.32,crore,INR,SRC00018,press-quoted-filing,HIGH
S0001,revenue_operations,FY25,514.31,crore,INR,SRC00018,press-quoted-filing,HIGH
S0001,pat,FY25,62.0,crore,INR,SRC00003,press-quoted-filing,HIGH
S0001,net_profit_usd,FY25,14.0,million,USD,SRC00019,press-quoted-filing,MEDIUM
S0001,total_revenue_alt,FY25,539.5,crore,INR,SRC00020,press-quoted-filing,MEDIUM
S0002,"revenue (krazybee nbfc standalone, operating)",FY24,1399.0,crore,INR,SRC00034,press-quoted-filing,HIGH
S0002,pat (krazybee nbfc standalone),FY24,200.0,crore,INR,SRC00034,press-quoted-filing,HIGH
S0002,"pat (consolidated group, care/unaudited)",FY24,285.0,crore,INR,SRC00046,press-quoted-filing,HIGH
S0002,"revenue (consolidated, press-quoted pre-audit)",FY25,2712.0,crore,INR,SRC00033,management,MEDIUM
S0002,"pat (consolidated, press-quoted pre-audit)",FY25,473.0,crore,INR,SRC00033,management,MEDIUM
S0002,operating revenue q3 (dec 2025 quarter),FY25,805.0,crore,INR,SRC00032,management,MEDIUM
S0002,operating_revenue,FY26,3025.0,crore,INR,SRC00047,press-quoted-filing,MEDIUM
S0002,net_profit,FY26,478.0,crore,INR,SRC00047,press-quoted-filing,MEDIUM
S0002,total_revenue,FY25,2712.0,crore,INR,SRC00033,press-quoted-filing,MEDIUM
S0002,net_profit,FY25,473.0,crore,INR,SRC00033,press-quoted-filing,MEDIUM
S0002,revenue_from_operations,FY25,589.7,crore,INR,SRC00048,audited,HIGH
S0002,net_profit,FY25,237.0,crore,INR,SRC00048,audited,HIGH
S0002,total_income,FY25,2712.0,crore,INR,SRC00038,press-quoted-filing,HIGH
