year,city,primary_sector,stage,investor_type,capital_inr_mn,round_count,new_or_existing,disclosed_flag,notes
2006,Mumbai,gaming (real-money skill gaming),Seed,mixed,0.0,1,unknown:1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2008,Bengaluru,analytics / decision sciences / AI,Series A / growth,mixed,2580.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2008,Kolkata,fintech/microfinance,Series A,mixed,0.0,1,initial (DERIVED):1,estimated,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2009,Noida,fintech,Seed,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2010,Gurugram,travel-tech,IPO,mixed,6923.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2011,Bengaluru,adtech,"Equity (early backer; ~$200-220M invested, per ET Dec 2025)",mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2011,Bengaluru,adtech,Seed/Series A,mixed,0.0,1,all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2011,Bengaluru,analytics / decision sciences / AI,Growth,mixed,11438.0,2,all-new-investors (DERIVED):1; mixed (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2011,Bengaluru,analytics / decision sciences / AI,Series B,mixed,2150.0,1,all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2011,Bengaluru,analytics / decision sciences / AI,Series C / D,mixed,9288.0,1,all-follow-on (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2011,Bengaluru,defence imaging / electro-optics,Seed,mixed,43.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2011,Gurugram,ecommerce/eyewear,Series A,mixed,0.0,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2012,Bengaluru,defence imaging / electro-optics,Series A,mixed,550.4,1,all-new-investors (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
2012,Chennai,saas/billing,Angel,mixed,31.82,1,initial (DERIVED):1,disclosed,CAPITAL_FLOWS derived; tracked universe only; investor_type aggregated; new/existing from FUNDING; no ecosystem census claim.
