startup_id,company,funding_trend,revenue_trend,profitability_trend,hiring_trend,product_trend,investor_trend,technology_evidence,regulatory_trend,explanation,confidence,evidence_count,notes
S0001,Juspay,UP,UP,PROFITABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,17,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0002,KreditBee,UP,UP,PROFITABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,21,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0003,PhonePe,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,19,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0004,Razorpay,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,5,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0005,Zepto,UP,UP,STABLE,UP,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,18,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0006,Neysa,UP,STABLE,STABLE,UP,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,9,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0007,Amagi,UP,UP,PROFITABLE,UP,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,8,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0008,CRED,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,7,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0009,Darwinbox,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,5,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0010,Emergent,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,5,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0011,Groww,UP,STABLE,PROFITABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,20,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0012,Gupshup,UP,STABLE,STABLE,UP,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,8,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0013,Krutrim,UP,UP,STABLE,UP,STABLE,UP,TECH:1:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,21,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0014,Sarvam AI,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,7,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0015,Slice,UP,STABLE,PROFITABLE,UP,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,9,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0016,upGrad,UP,STABLE,LOSS_MAKING,STABLE,STABLE,UP,TECH:1:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,15,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0017,BrowserStack,UP,STABLE,STABLE,UP,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,24,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0018,Dhan,UP,UP,PROFITABLE,STABLE,STABLE,UP,TECH:1:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,32,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0019,PharmEasy,UP,UP,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,14,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0020,Snapmint,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,5,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0021,Upstox,UP,STABLE,PROFITABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,16,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0022,Udaan,UP,STABLE,STABLE,UP,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,11,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0023,ACKO,UP,STABLE,LOSS_MAKING,STABLE,STABLE,UP,TECH:1:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,10,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0024,CoinSwitch Kuber,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,9,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0025,Cult.fit (CureFit),UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,8,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0026,Fireflies AI,UP,STABLE,STABLE,UP,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,7,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0027,Hasura,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,5,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0028,Icertis,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,5,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0029,LeadSquared,UP,UP,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,13,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0030,MoEngage,UP,STABLE,STABLE,UP,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,6,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0031,Moneyview,UP,STABLE,PROFITABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,6,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0032,Mu Sigma,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,13,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0033,Netradyne,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,5,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0034,Postman,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,13,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0035,Zeta,UP,UP,PROFITABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,25,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0036,Flipkart,UP,UP,LOSS_MAKING,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,14,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0037,Porter,UP,UP,PROFITABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,12,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0038,Unacademy,UP,STABLE,LOSS_MAKING,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,18,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0039,Vedantu,UP,STABLE,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,4,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0040,Zetwerk,UP,UP,STABLE,STABLE,STABLE,UP,TECH:0:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,13,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0041,Dream11 (Dream Sports),UP,STABLE,LOSS_MAKING,STABLE,STABLE,UP,TECH:1:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,11,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0042,InMobi,UP,UP,LOSS_MAKING,STABLE,STABLE,UP,TECH:1:STABLE,PRESSURE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,17,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
S0043,Nykaa,UP,STABLE,PROFITABLE,UP,STABLE,UP,TECH:1:STABLE,STABLE,Evidence-based classification; directions UP/DOWN/STABLE/MIXED; no predictions made; confidence based on evidence count.,HIGH,10,Signals derived only from CSV evidence; no unsupported inferences; sample-size shown; no predictions.
