startup_id,company,milestone_type,milestone,period,value,unit,currency,source_id,confidence,notes
S0001,Juspay,founded,2012,2012,,,,,DERIVED,founded date from STARTUPS
S0001,Juspay,first_funding,Series C,2021-12-15,4470.0,INR Mn,INR,SRC00013,DERIVED,first funding event from FUNDING
S0001,Juspay,latest_revenue,FY25,FY25,514.31,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0001,Juspay,legal_event,complaint,2024-12,,,,SRC00003,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0001,Juspay,current_state,active private,2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0002,KreditBee,first_funding,Series C (tranche 2),2021-03-22,5215.0,INR Mn,INR,SRC00042,DERIVED,first funding event from FUNDING
S0002,KreditBee,latest_revenue,FY25,FY25,2712.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0002,KreditBee,legal_event,regulatory,2026-07-27,,,,SRC00061,DERIVED,legal/regulatory event from LEGAL_REGULATORY
S0002,KreditBee,current_state,"active, pre-IPO",2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0003,PhonePe,first_funding,growth/secondary mix,2023-01-01,8280.0,INR Mn,INR,SRC00080,DERIVED,first funding event from FUNDING
S0003,PhonePe,current_state,"active, IPO-bound",2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0004,Razorpay,first_funding,Series C,2019-06-18,6450.0,INR Mn,INR,SRC00093,DERIVED,first funding event from FUNDING
S0004,Razorpay,acquisition,made,2025-06-17,,,,SRC00098,DERIVED,acquisition event from ACQUISITIONS
S0004,Razorpay,current_state,"active, IPO-bound",2026-09-16,,,,,DERIVED,current company status from STARTUPS
S0005,Zepto,first_funding,seed,2021-07-01,,INR Mn,INR,SRC00110,DERIVED,first funding event from FUNDING
S0005,Zepto,latest_revenue,FY26,FY26,22624.0,INR crore,,,DERIVED,latest FY revenue from FINANCIALS
S0005,Zepto,legal_event,regulatory,2026-04-08,,,,SRC00109,DERIVED,legal/regulatory event from LEGAL_REGULATORY
