founder_id,person_id,startup_id,name,role_title,founder_type,active,previous_company_first,city,sector,founder_sequence,source_id,confidence,notes
FDR0001,P0001,S0001,Vimal Kumar (Vivekananthamoorthy Vimalkumar),Co-founder & CEO,co-founder,True,,Bengaluru,fintech payments infrastructure,1,SRC00006,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0002,P0002,S0001,Sheetal Lalwani (Sheetal Pai),Co-founder & COO,co-founder,True,,Bengaluru,fintech payments infrastructure,1,SRC00003,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0003,P0003,S0001,Ramanathan R.V.,Co-founder (exited 2019),co-founder,False,,Bengaluru,fintech payments infrastructure,1,SRC00003,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0004,P0005,S0002,Madhusudan Ekambaram (Madhusudan E),Co-founder & CEO,co-founder,True,,Bengaluru,fintech lending,1,SRC00031,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0005,P0006,S0002,Karthikeyan Krishnaswamy,Co-founder & CTO,co-founder,True,,Bengaluru,fintech lending,1,SRC00041,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0006,P0007,S0002,Vivek Veda,Co-founder & CFO,co-founder,True,,Bengaluru,fintech lending,1,SRC00041,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0007,P0008,S0002,Madhusudan Ekambaram,Co-founder & CEO,,True,,Bengaluru,fintech lending,1,SRC00031,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0008,P0014,S0003,Sameer Nigam,Co-founder & CEO,co-founder,True,,Bengaluru,fintech payments,1,SRC00080,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0009,P0015,S0003,Rahul Chari,Co-founder,co-founder,True,,Bengaluru,fintech payments,1,SRC00080,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0010,P0016,S0003,Burzin Engineer,Co-founder,co-founder,False,,Bengaluru,fintech payments,1,SRC00080,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0011,P0028,S0004,Harshil Mathur,Co-founder & CEO,co-founder,True,,Bengaluru,fintech infra,1,SRC00094,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0012,P0029,S0004,Shashank Kumar,Co-founder (MD),co-founder,True,,Bengaluru,fintech infra,1,SRC00094,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0013,P0031,S0005,Aadit Palicha,Co-founder & CEO,co-founder,True,,Mumbai,quick commerce,1,SRC00110,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0014,P0032,S0005,Kaivalya Vohra,Co-founder,co-founder,True,,Mumbai,quick commerce,1,SRC00110,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0015,P0035,S0006,Sharad Sanghi,Co-founder & CEO,co-founder,True,,Mumbai,AI cloud infrastructure,1,SRC00118,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0016,P0036,S0006,Anindya Das,Co-founder & CTO,co-founder,True,,Mumbai,AI cloud infrastructure,1,SRC00122,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0017,P0038,S0007,Baskar Subramanian,Managing Director & CEO,co-founder,True,,Bengaluru,media-tech SaaS,1,SRC00139,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0018,P0039,S0007,Srividhya Srinivasan,Co-founder,co-founder,True,,Bengaluru,media-tech SaaS,1,SRC00138,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0019,P0040,S0007,Arunachalam Srinivasan Karapattu (Srinivasan KA),Co-founder,co-founder,True,,Bengaluru,media-tech SaaS,1,SRC00138,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0020,P0041,S0008,Kunal Shah,Founder & CEO,founder,True,,Bengaluru,fintech,1,SRC00145,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0021,P0042,S0009,Jayant Paleti,Co-founder,co-founder,True,,Hyderabad,HR-tech SaaS,1,SRC00157,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0022,P0043,S0009,Chaitanya Peddi,Co-founder,co-founder,True,,Hyderabad,HR-tech SaaS,1,SRC00155,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0023,P0044,S0009,Rohit Chennamaneni,Co-founder,co-founder,True,,Hyderabad,HR-tech SaaS,1,SRC00163,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0024,P0045,S0009,Vineet Singh,"Co-founder (elevated CTO, Aug 2024)",co-founder,True,,Hyderabad,HR-tech SaaS,1,SRC00155,MEDIUM,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
FDR0025,P0046,S0010,Mukund Jha,Co-founder & CEO,co-founder,True,,Bengaluru,AI dev-tools / vibe-coding,1,SRC00167,HIGH,NETWORK LAYER: previous_company only when FOUNDERS.prev_companies non-empty; same person across companies (global person) preserved; no auto-merge.
