year,city,sector,stage,investor_type_mix,new_or_existing,capital_inr_mn,rounds,disclosed_only,notes
2008,Bengaluru,analytics / decision sciences / AI,Series A / growth,,new_or_mixed,2580.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2010,Gurugram,travel-tech,IPO,,new_or_mixed,6923.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2011,Bengaluru,analytics / decision sciences / AI,Growth,VC/growth equity,new_or_mixed,9288.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2011,Bengaluru,analytics / decision sciences / AI,Series C / D,VC/growth equity,new_or_mixed,9288.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2011,Bengaluru,analytics / decision sciences / AI,Growth,VC,new_or_mixed,2150.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2011,Bengaluru,analytics / decision sciences / AI,Series B,VC,new_or_mixed,2150.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2011,Bengaluru,defence imaging / electro-optics,Seed,,new_or_mixed,43.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2012,Bengaluru,defence imaging / electro-optics,Series A,,new_or_mixed,550.4,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2012,Chennai,saas/billing,Angel,unknown,new_or_mixed,31.8,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2013,Bengaluru,analytics / decision sciences / AI,Corporate minority,Asset Management/CVC-corporate,new_or_mixed,3870.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2013,Chennai,saas/billing,Seed,VC,new_or_mixed,103.9,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2013,Pune,agritech / crop inputs,Seed,,new_or_mixed,63.1,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2014,Bengaluru,Home interiors marketplace,Series A,unknown,new_or_mixed,395.6,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2014,Bengaluru,saas/api dev,Seed,VC,new_or_mixed,84.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2014,Chennai,saas/billing,Series A,VC,new_or_mixed,68.8,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2014,Pune,agritech / crop inputs,Seed,,new_or_mixed,55.5,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2014,Ahmedabad,d2c baby products,Seed,,new_or_mixed,40.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2015,Bengaluru,Logistics,Series A,CVC-corporate,new_or_mixed,1591.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2015,Pune,logistics,Series A,unknown,new_or_mixed,1075.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2015,Bengaluru,Home interiors marketplace,Series A (second tranche),unknown,new_or_mixed,739.6,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2015,Hyderabad,Beauty-Tech SaaS,Series A,VC,new_or_mixed,516.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2015,Bengaluru,logistics,Series A,/VC/Venture Capital,new_or_mixed,473.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2015,Chennai,saas/billing,Series B,Hedge Fund/VC/VC,new_or_mixed,430.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2015,Gurugram,B2B supply-chain commerce / fintech,Series A,/VC,new_or_mixed,369.8,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
2015,Pune,agritech / crop inputs,Series A,/Venture Capital,new_or_mixed,344.0,1,True,FUNDING.amount_inr_mn sum; investor types from INVESTORS join
