startup_id,company,milestone_type,milestone,period,value,unit_raw,currency,source_id,confidence,notes
S0001,Juspay,founded,2012,2012,,,,SRC00010,HIGH,STARTUPS.founded_date
S0001,Juspay,first_funding_event,Series C,2021-12-15,4470.0,INR Mn,INR,SRC00013,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0001,Juspay,legal_event,security_incident,2020-08,,,,SRC00017,HIGH,LEGAL_REGULATORY verbatim dates=2020-08
S0002,KreditBee,first_funding_event,Series C (tranche 1),2021-02-15,5587.5,INR Mn,INR,SRC00043,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0002,KreditBee,legal_event,regulatory,2026-07-27,,,,SRC00061,HIGH,LEGAL_REGULATORY verbatim dates=2026-07-27
S0003,PhonePe,first_funding_event,growth/secondary mix,2023-01-01,8280.0,INR Mn,INR,SRC00080,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0004,Razorpay,first_funding_event,Series C,2019-06-18,6450.0,INR Mn,INR,SRC00093,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0004,Razorpay,acquisition,made acqui-hire / consumer UPI expansion,2025-06-17,$30M (per Entrackr snippet),as-stated in ACQUISITIONS.value,,SRC00098,MEDIUM,ACQUISITIONS verbatim
S0005,Zepto,first_funding_event,seed,2021-07-01,,INR Mn,INR,SRC00110,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0005,Zepto,legal_event,litigation,2025-06-01,,,,SRC00109,HIGH,LEGAL_REGULATORY verbatim dates=2025-06-01
S0006,Neysa,founded,2023-01-01,2023-01-01,,,,SRC00115,HIGH,STARTUPS.founded_date
S0006,Neysa,first_funding_event,Seed,2024-04-10,1674.0,INR Mn,INR,SRC00117,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0007,Amagi,founded,2008,2008,,,,,MEDIUM,STARTUPS.founded_date
S0007,Amagi,first_funding_event,Series F-II,2022-11-01,7850.0,INR Mn,INR,SRC00136,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0008,CRED,founded,2018,2018,,,,,MEDIUM,STARTUPS.founded_date
S0008,CRED,first_funding_event,Series E (reported Oct 2021),2021-10-01,18699.5,INR Mn,INR,SRC00145,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0009,Darwinbox,founded,2015,2015,,,,,MEDIUM,STARTUPS.founded_date
S0009,Darwinbox,first_funding_event,Series D,2022-01-25,5652.0,INR Mn,INR,SRC00162,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0011,Groww,founded,2016,2016,,,,SRC00191,HIGH,STARTUPS.founded_date
S0011,Groww,first_funding_event,Series A,2019-01-23,533.2,INR Mn,INR,SRC00180,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0011,Groww,legal_event,regulatory,2026-01-14,,,,SRC00199,HIGH,LEGAL_REGULATORY verbatim dates=2026-01-14
S0012,Gupshup,founded,2004,2004,,,,,MEDIUM,STARTUPS.founded_date
S0012,Gupshup,first_funding_event,Series F,2021-04-08,7450.0,INR Mn,INR,SRC00230,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0012,Gupshup,acquisition,made product acquisition,2022-02-02,undisclosed,as-stated in ACQUISITIONS.value,,SRC00221,HIGH,ACQUISITIONS verbatim
S0013,Krutrim,founded,2023-04-01,2023-04-01,,,,SRC00253,HIGH,STARTUPS.founded_date
S0013,Krutrim,legal_event,regulatory,2025-09-10,,,,SRC00254,HIGH,LEGAL_REGULATORY verbatim dates=2025-09-10
S0015,Slice,first_funding_event,Series B,2021-11-28,16390.0,INR Mn,INR,SRC00282,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0015,Slice,legal_event,notice,2022,,,,,MEDIUM,LEGAL_REGULATORY verbatim dates=2022
S0016,upGrad,founded,2015,2015,,,,SRC00316,HIGH,STARTUPS.founded_date
S0016,upGrad,first_funding_event,Equity,2021-08-01,13782.5,INR Mn,INR,SRC00292,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0016,upGrad,acquisition,made all-stock acquisition,2026-09-01,"~$206M (INR 1,955 cr) all-stock",as-stated in ACQUISITIONS.value,,SRC00288,HIGH,ACQUISITIONS verbatim
S0016,upGrad,legal_event,notice,Cleared July 2026,,,,SRC00324,HIGH,LEGAL_REGULATORY verbatim dates=Cleared July 2026
S0017,BrowserStack,founded,2011,2011,,,,SRC00335,HIGH,STARTUPS.founded_date
S0017,BrowserStack,first_funding_event,Series A,2018-01-01,4300.0,INR Mn,INR,SRC00347,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0018,Dhan,founded,2021,2021,,,,SRC00360,HIGH,STARTUPS.founded_date
S0018,Dhan,first_funding_event,Seed,2021-02-01,,INR Mn,INR,SRC00354,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0018,Dhan,legal_event,licence,,,,,SRC00360,HIGH,LEGAL_REGULATORY verbatim dates=
S0019,PharmEasy,founded,2015,2015,,,,SRC00374,HIGH,STARTUPS.founded_date
S0019,PharmEasy,legal_event,regulatory,2024,,,,SRC00394,MEDIUM,LEGAL_REGULATORY verbatim dates=2024
S0020,Snapmint,founded,2017,2017,,,,,HIGH,STARTUPS.founded_date
S0020,Snapmint,first_funding_event,debt+equity (unlettered),2022-10-17,1648.5,INR Mn,INR,SRC00410,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0021,Upstox,founded,2009,2009,,,,SRC00437,HIGH,STARTUPS.founded_date
S0021,Upstox,first_funding_event,Series B,2019-09-24,2150.0,INR Mn,INR,SRC00428,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0021,Upstox,legal_event,regulatory,2024-ongoing,,,,SRC00431,HIGH,LEGAL_REGULATORY verbatim dates=2024-ongoing
S0022,Udaan,founded,2016,2016,,,,,MEDIUM,STARTUPS.founded_date
S0022,Udaan,first_funding_event,Series G,2025-02-17,6427.5,INR Mn,INR,SRC00443,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0022,Udaan,legal_event,ruling,2025,,,,,MEDIUM,LEGAL_REGULATORY verbatim dates=2025
S0023,ACKO,founded,2016,2016,,,,,HIGH,STARTUPS.founded_date
S0023,ACKO,first_funding_event,Seed,2017-05-22,2580.0,INR Mn,INR,SRC00460,MEDIUM,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0023,ACKO,legal_event,notice,Dec 2024 request rejected; May 2025 revised plan rejected; FY26 compliance deadline,,,,SRC00459,MEDIUM,LEGAL_REGULATORY verbatim dates=Dec 2024 request rejected; May 2025 revised plan rejected; F
S0024,CoinSwitch Kuber,founded,2017,2017,,,,,MEDIUM,STARTUPS.founded_date
S0024,CoinSwitch Kuber,first_funding_event,Series A,2021-01-13,1117.5,INR Mn,INR,SRC00483,HIGH,"earliest dated equity-class FUNDING row by announcement_date (excludes debt/IPO/acquisition rows); earliest TRACKED, not lifetime first"
S0024,CoinSwitch Kuber,legal_event,complaint,FY25,,,,,MEDIUM,LEGAL_REGULATORY verbatim dates=FY25
S0025,Cult.fit (CureFit),founded,2016,2016,,,,,MEDIUM,STARTUPS.founded_date
