network_type,entity_a,entity_b,co_occurrences,entity_a_degree,entity_b_degree,overlap_type,interpretation,confidence,notes
co_investment,INV0003,INV0171,7,106,27,same_funding_round,Accel and Chiratae Ventures appear together in investor_ids of 7 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0029,INV0039,6,95,13,same_funding_round,Tiger Global and Ribbit Capital appear together in investor_ids of 6 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0029,INV0066,6,95,27,same_funding_round,Tiger Global and Alpha Wave Global appear together in investor_ids of 6 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0029,INV0036,5,95,24,same_funding_round,Tiger Global and GIC appear together in investor_ids of 5 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0029,INV0037,5,95,106,same_funding_round,Tiger Global and Peak XV Partners appear together in investor_ids of 5 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0037,INV0038,5,106,23,same_funding_round,Peak XV Partners and Y Combinator appear together in investor_ids of 5 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0029,INV0084,5,95,12,same_funding_round,Tiger Global and Sequoia Capital India appear together in investor_ids of 5 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0003,INV0048,5,106,67,same_funding_round,Accel and Nexus Venture Partners appear together in investor_ids of 5 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0003,INV0074,5,106,15,same_funding_round,Accel and Prosus Ventures appear together in investor_ids of 5 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0528,INV0979,5,21,8,same_funding_round,IvyCap Ventures and SWC Global appear together in investor_ids of 5 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0171,INV1344,5,27,12,same_funding_round,Chiratae Ventures and Aavishkaar Capital appear together in investor_ids of 5 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0027,INV0029,4,31,95,same_funding_round,General Atlantic and Tiger Global appear together in investor_ids of 4 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0046,INV0048,4,42,67,same_funding_round,Lightspeed and Nexus Venture Partners appear together in investor_ids of 4 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0039,INV0084,4,13,12,same_funding_round,Ribbit Capital and Sequoia Capital India appear together in investor_ids of 4 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0003,INV0121,4,106,46,same_funding_round,Accel and Elevation Capital appear together in investor_ids of 4 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0037,INV0145,4,106,25,same_funding_round,Peak XV Partners and Kae Capital appear together in investor_ids of 4 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0048,INV0170,4,67,19,same_funding_round,Nexus Venture Partners and Kalaari Capital appear together in investor_ids of 4 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0004,INV0454,4,42,4,same_funding_round,WestBridge Capital and MMPL Trust appear together in investor_ids of 4 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0121,INV0470,4,46,11,same_funding_round,Elevation Capital and India Quotient appear together in investor_ids of 4 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
co_investment,INV0118,INV0121,4,35,46,same_funding_round,Lightspeed Venture Partners and Elevation Capital appear together in investor_ids of 4 funding rounds,MEDIUM,derived from FUNDING.investor_ids only; no centrality claims
founder_overlap,P0564,S0111;S0170;S0195;S0209;S0211;S0212;S0328;S0330;S0331;S0332;S0363,11,11,11,same_person_multiple_startups,"P0564 (UNKNOWN, Unknown, unknown, {'v': 'UNKNOWN', 'conf': 'low', 'src': 'Failory lists founders as —'}) linked to 11 tracked startups by person_id",MEDIUM,person_id reuse verified by name at capture; no previous-company centrality claims (prev_companies sparse)
founder_overlap,P0264,S0085;S0098;S0176,3,3,3,same_person_multiple_startups,P0264 (Nitin Jain) linked to 3 tracked startups by person_id,MEDIUM,person_id reuse verified by name at capture; no previous-company centrality claims (prev_companies sparse)
founder_overlap,P0049,S0011;S0041,2,2,2,same_person_multiple_startups,P0049 (Harsh Jain) linked to 2 tracked startups by person_id,MEDIUM,person_id reuse verified by name at capture; no previous-company centrality claims (prev_companies sparse)
founder_overlap,P0060,S0013;S0050,2,2,2,same_person_multiple_startups,P0060 (Bhavish Aggarwal) linked to 2 tracked startups by person_id,MEDIUM,person_id reuse verified by name at capture; no previous-company centrality claims (prev_companies sparse)
founder_overlap,P0122,S0025;S0106,2,2,2,same_person_multiple_startups,P0122 (Ankit Nagori) linked to 2 tracked startups by person_id,MEDIUM,person_id reuse verified by name at capture; no previous-company centrality claims (prev_companies sparse)
founder_overlap,P0167,S0036;S0070,2,2,2,same_person_multiple_startups,P0167 (Sachin Bansal) linked to 2 tracked startups by person_id,MEDIUM,person_id reuse verified by name at capture; no previous-company centrality claims (prev_companies sparse)
founder_overlap,P0190,S0040;S0085,2,2,2,same_person_multiple_startups,P0190 (Srinath Ramakkrushnan) linked to 2 tracked startups by person_id,MEDIUM,person_id reuse verified by name at capture; no previous-company centrality claims (prev_companies sparse)
founder_overlap,P0241,S0049;S0363,2,2,2,same_person_multiple_startups,P0241 (Vidit Aatrey) linked to 2 tracked startups by person_id,MEDIUM,person_id reuse verified by name at capture; no previous-company centrality claims (prev_companies sparse)
