metric,startup_id,company,value,population,population_size,q1,median,q3,upper_fence,method,confidence,notes
funding_total_inr_mn,S0036,Flipkart,3153712.5,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0085,OfBusiness,236958.7,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0005,Zepto,190233.5,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0258,VerSe Innovation,179304.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0083,boAt,175250.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0040,Zetwerk,167220.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0052,ShareChat,142593.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0072,Pine Labs,142586.6,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0209,Arohan Financial Services,125160.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
funding_total_inr_mn,S0286,MakeMyTrip,119980.0,tracked startups with positive disclosed equity funding (n=252; zero-total companies excluded),252,1710.3,5653.7,25647.7,61553.8,"Q3 + 1.5*IQR (inclusive quartiles), population = positive equity-only totals from FUNDING.amount_inr_mn",MEDIUM,"statistical outlier label, not a quality judgment; n shown; no small-n cases (n>=10)"
