startup_id,metric,period,period_type,value,unit_raw,currency,value_type,source_id,confidence,notes
S0001,revenue_operations,FY24,fiscal_year,319.32,crore,INR,press-quoted-filing,SRC00018,HIGH,verbatim FINANCIALS passthrough; unit_raw as recorded
S0001,revenue_operations,FY25,fiscal_year,514.31,crore,INR,press-quoted-filing,SRC00018,HIGH,verbatim FINANCIALS passthrough; unit_raw as recorded
S0001,pat,FY25,fiscal_year,62.0,crore,INR,press-quoted-filing,SRC00003,HIGH,verbatim FINANCIALS passthrough; unit_raw as recorded
S0001,revenue_operations,FY24,fiscal_year,319.32,crore,INR,press-quoted-filing,SRC00018,HIGH,verbatim FINANCIALS passthrough; unit_raw as recorded
S0001,pat,FY24,fiscal_year,-97,crore,INR,press-quoted-filing,SRC00003,HIGH,verbatim FINANCIALS passthrough; unit_raw as recorded
S0001,revenue_operations,FY25,fiscal_year,514.31,crore,INR,press-quoted-filing,SRC00018,HIGH,verbatim FINANCIALS passthrough; unit_raw as recorded
S0001,pat,FY25,fiscal_year,62,crore,INR,press-quoted-filing,SRC00003,HIGH,verbatim FINANCIALS passthrough; unit_raw as recorded
S0001,net_profit_usd,FY25,fiscal_year,14,million,USD,press-quoted-filing,SRC00019,MEDIUM,verbatim FINANCIALS passthrough; unit_raw as recorded
S0001,total_revenue_alt,FY25,fiscal_year,539.5,crore,INR,press-quoted-filing,SRC00020,MEDIUM,verbatim FINANCIALS passthrough; unit_raw as recorded
S0002,"revenue (krazybee nbfc standalone, operating)",FY24,fiscal_year,1399.0,crore,INR,press-quoted-filing,SRC00034,HIGH,verbatim FINANCIALS passthrough; unit_raw as recorded
S0002,pat (krazybee nbfc standalone),FY24,fiscal_year,200.0,crore,INR,press-quoted-filing,SRC00034,HIGH,verbatim FINANCIALS passthrough; unit_raw as recorded
S0002,"pat (consolidated group, care/unaudited)",FY24,fiscal_year,285.0,crore,INR,press-quoted-filing,SRC00046,HIGH,verbatim FINANCIALS passthrough; unit_raw as recorded
S0002,"revenue (consolidated, press-quoted pre-audit)",FY25,fiscal_year,2712.0,crore,INR,management,SRC00033,MEDIUM,verbatim FINANCIALS passthrough; unit_raw as recorded
S0002,"pat (consolidated, press-quoted pre-audit)",FY25,fiscal_year,473.0,crore,INR,management,SRC00033,MEDIUM,verbatim FINANCIALS passthrough; unit_raw as recorded
S0002,operating revenue q3 (dec 2025 quarter),FY25,fiscal_year,805.0,crore,INR,management,SRC00032,MEDIUM,verbatim FINANCIALS passthrough; unit_raw as recorded
S0002,operating_revenue,FY26,fiscal_year,3025.0,crore,INR,press-quoted-filing,SRC00047,MEDIUM,verbatim FINANCIALS passthrough; unit_raw as recorded
S0002,net_profit,FY26,fiscal_year,478.0,crore,INR,press-quoted-filing,SRC00047,MEDIUM,verbatim FINANCIALS passthrough; unit_raw as recorded
S0002,total_revenue,FY25,fiscal_year,2712.0,crore,INR,press-quoted-filing,SRC00033,MEDIUM,verbatim FINANCIALS passthrough; unit_raw as recorded
S0002,net_profit,FY25,fiscal_year,473.0,crore,INR,press-quoted-filing,SRC00033,MEDIUM,verbatim FINANCIALS passthrough; unit_raw as recorded
