issue_id,severity,sheet,record_id,issue_type,description,suggested_fix,status
AI0001,MEDIUM,PEOPLE,PEOPLE,duplicate IDs,"37 person_id duplicates [('P0018', 2), ('P0050', 2), ('P0051', 2), ('P0060', 2), ('P0079', 2)] by design (many-per-company)",keep rows; auto-merge only if confirmed duplicate,resolved
AI0002,HIGH,RESEARCH_LOG,RESEARCH_LOG,duplicate IDs,"2 date duplicates [('2026-09-14', 859), ('2026-09-15', 603)] ",keep rows; auto-merge only if confirmed duplicate,open
AI0003,HIGH,STARTUPS.total_funding_disclosed,S0001,non-numeric value,"'13962.0 Mn INR (equity, DERIVED)' is a string",split into value/unit/currency,open
AI0004,HIGH,STARTUPS.total_funding_disclosed,S0002,non-numeric value,"'69069.3 Mn INR (equity, DERIVED)' is a string",split into value/unit/currency,open
AI0005,HIGH,STARTUPS.total_funding_disclosed,S0003,non-numeric value,"'74670.0 Mn INR (equity, DERIVED)' is a string",split into value/unit/currency,open
AI0006,HIGH,STARTUPS.total_funding_disclosed,S0004,non-numeric value,"'53707.5 Mn INR (equity, DERIVED)' is a string",split into value/unit/currency,open
AI0007,HIGH,STARTUPS.total_funding_disclosed,S0005,non-numeric value,"'190233.5 Mn INR (equity, DERIVED)' is a string",split into value/unit/currency,open
AI0008,HIGH,STARTUPS.total_funding_disclosed,S0006,non-numeric value,"'108585.0 Mn INR (equity, DERIVED) + 52200.0 Mn INR (debt)' is a string",split into value/unit/currency,open
AI0009,HIGH,STARTUPS.total_funding_disclosed,S0007,non-numeric value,"'7850.0 Mn INR (equity, DERIVED) | IPO issue 195.05 USDMn (excluded from private equity total)' is a string",split into value/unit/currency,open
AI0010,HIGH,STARTUPS.total_funding_disclosed,S0008,non-numeric value,"'29689.5 Mn INR (equity, DERIVED)' is a string",split into value/unit/currency,open
AI0011,HIGH,STARTUPS.total_funding_disclosed,S0009,non-numeric value,"'21078.0 Mn INR (equity, DERIVED)' is a string",split into value/unit/currency,open
AI0012,HIGH,STARTUPS.total_funding_disclosed,S0010,non-numeric value,"'19957.0 Mn INR (equity, DERIVED)' is a string",split into value/unit/currency,open
AI0013,HIGH,STARTUPS.total_funding_disclosed,S0011,non-numeric value,"'42753.3 Mn INR (equity, DERIVED) | IPO issue 6632.3 INRMn (excluded from private equity total)' is a string",split into value/unit/currency,open
AI0014,HIGH,STARTUPS.employee_estimate,S0011,non-numeric value,'1415 (Tracxn official) / ~2610-2655 (Inc42/GetLatka 2025)' is a string,split into value/unit/currency,open
AI0015,HIGH,STARTUPS.total_funding_disclosed,S0012,non-numeric value,"'30472.0 Mn INR (equity, DERIVED) + 5142.0 Mn INR (debt)' is a string",split into value/unit/currency,open
AI0016,HIGH,STARTUPS.employee_estimate,S0012,non-numeric value,'~900-963' is a string,split into value/unit/currency,open
AI0017,HIGH,STARTUPS.total_funding_disclosed,S0013,non-numeric value,"'23896.0 Mn INR (equity, DERIVED) + 1987.2 Mn INR (debt)' is a string",split into value/unit/currency,open
AI0018,HIGH,STARTUPS.employee_estimate,S0013,non-numeric value,'~222-234 (early 2026; down from ~640-660 mid-2025 post-layoffs)' is a string,split into value/unit/currency,open
AI0019,HIGH,STARTUPS.total_funding_disclosed,S0014,non-numeric value,"'30277.8 Mn INR (equity, DERIVED)' is a string",split into value/unit/currency,open
AI0020,HIGH,STARTUPS.employee_estimate,S0014,non-numeric value,'~114-168' is a string,split into value/unit/currency,open
AI0021,HIGH,STARTUPS.total_funding_disclosed,S0015,non-numeric value,"'34504.0 Mn INR (equity, DERIVED)' is a string",split into value/unit/currency,open
AI0022,HIGH,STARTUPS.total_funding_disclosed,S0016,non-numeric value,"'36726.5 Mn INR (equity, DERIVED)' is a string",split into value/unit/currency,open
