startup_id,raw_url_field,claim_or_fields,title
S0002,,KreditBee app lending,
S0002,,Moneyview,
S0002,,Fibe,
S0002,,Kissht,
S0002,,KrazyBee Services Private Limited (NBFC arm); tech arm Finnovation Tech Solutions Private Limited; parent Finnov Private,
S0002,,KrazyBee Services Limited (NBFC arm); Finnovation Tech Solutions Private Limited (tech arm); Finnov Private Limited (hol,
S0002,,U65100KA2016PTC086990,
S0002,,U65100KA2016PLC086990,
S0003,,PhonePe payments,
S0003,,PhonePe diversified verticals,
S0003,,PhonePe Limited (redomiciled India 2022; ex-Flipkart hive-off 2020),
S0003,,PhonePe Limited,
S0003,,"late / pre-IPO (confidential DRHP Sep 2025, UDRHP Jan 2026)",
S0003,,late / pre-IPO,
S0004,,Razorpay full-stack platform,
S0005,,Zepto quick commerce,
S0005,,Zepto Cafe,
S0005,,"Zepto Private Limited (utations: KiranaKart Technologies per RoC filings — UNVERIFIED, needs MCA check)",
S0005,,Zepto Private Limited,
S0006,UNKNOWN,Rahul Gandotra listed as founder in some sources,
S0007,,Amagi cloud platform,
S0008,,CRED app,
S0008,,Happay,
S0009,,Darwinbox HCM platform,
S0010,Tracxn/IndiaFilings/UpForge registry aggregator pages,company.incorporation_date,
S0010,Tracxn/IndiaFilings/UpForge registry aggregator pages,company.cin,
S0010,,Emergent platform,
S0011,,"Groww investment platform (stocks, mutual funds, ETFs, F&O, IPOs, digital gold, US stocks)",
S0011,,"Margin Trading Facility (MTF), personal loans via NBFC subsidiary",
S0011,,Groww Mutual Fund (Groww Asset Management),
S0011,,Zerodha,
S0011,,Angel One,
S0011,,Upstox,
S0011,,Billionbrains Garage Ventures Limited (formerly Billionbrains Garage Ventures Private Limited),
S0011,,Billionbrains Garage Ventures Limited,
S0011,,2018-01-09 (certificate 2018-01-17),
S0011,,2018-01-09,
S0011,,Public,
S0011,,Public (listed on BSE and NSE),
S0011,unknown,TPG/Tiger $213M round 2024,
S0011,unknown,conflict,
S0012,,"Conversational messaging platform (WhatsApp, RCS, SMS, Instagram, voice)",
S0012,,AI agents / Auto Bot Builder / campaign copilot / agent assist,
S0012,,Twilio,
S0012,,Infobip,
S0012,,Kore.ai,
S0012,batch b08.json,Seed city Bengaluru (batch seed),
S0013,,"Krutrim Cloud (GPU clusters, model repos, AI customer-care agents, mapping, language hub)",
S0013,,"Krutrim LLMs (Krutrim-1/2, Indic multilingual, open-sourced Feb 2025)",
S0013,,Kruti AI assistant,
S0013,,Sarvam AI,
